* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 15, 2025 1:46:05 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L 7A Asteria AET07
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	99.132	166.1163
20.299999	99.128	165.5676
20.600000	99.123	165.0713
20.900000	99.122	164.6220
21.200001	99.129	164.1789
21.400000	99.138	163.8557
21.799999	99.155	163.0771
22.000000	99.156	162.6140
22.400000	99.124	161.5984
22.700001	99.067	160.8527
23.000000	98.985	160.2112
23.299999	98.893	159.7208
23.600000	98.802	159.3795
24.000000	98.700	159.0800
24.299999	98.642	158.9055
24.700001	98.587	158.6819
25.000000	98.563	158.5067
25.400000	98.563	158.2184
25.799999	98.606	157.7430
26.200001	98.676	156.9192
26.500000	98.726	156.0372
26.900000	98.758	154.6065
27.200001	98.746	153.4783
27.600000	98.694	152.1023
28.000000	98.628	150.9779
28.500000	98.568	149.8354
29.000000	98.530	148.7750
29.500000	98.483	147.7986
30.000000	98.430	147.0776
30.400000	98.408	146.6810
30.700001	98.408	146.4095
31.100000	98.417	146.0014
31.500000	98.418	145.5655
32.000000	98.405	145.1634
32.500000	98.425	144.9422
33.000000	98.508	144.4886
33.500000	98.593	143.3728
34.000000	98.574	141.7703
34.500000	98.423	140.3741
35.000000	98.223	139.7354
35.500000	98.096	139.6885
36.000000	98.076	139.5513
36.500000	98.092	138.8911
37.000000	98.071	137.8570
37.500000	98.007	136.8201
38.200001	97.914	135.6120
38.700001	97.865	134.7780
39.500000	97.780	133.3956
40.000000	97.716	132.6544
40.599998	97.652	131.9604
41.200001	97.618	131.3381
41.799999	97.597	130.6407
42.500000	97.562	129.7494
43.099998	97.518	129.0099
43.700001	97.472	128.2852
44.400002	97.406	127.3887
45.000000	97.329	126.6303
45.500000	97.255	126.0803
46.200001	97.164	125.4206
46.799999	97.102	124.8331
47.500000	97.030	124.0715
48.200001	96.954	123.3499
48.700001	96.907	122.8806
49.400002	96.857	122.2090
50.000000	96.816	121.6111
50.799999	96.762	120.9139
51.500000	96.742	120.3333
52.200001	96.735	119.5438
53.000000	96.686	118.4299
53.799999	96.584	117.4176
54.500000	96.472	116.7451
55.200001	96.356	116.3909
56.000000	96.293	116.3034
57.000000	96.341	115.4813
58.000000	96.282	113.5970
59.000000	96.089	112.2180
60.000000	95.930	111.4473
60.799999	95.839	110.9167
61.500000	95.781	110.4210
62.200001	95.727	109.8557
63.000000	95.657	109.2583
64.000000	95.594	108.6726
65.000000	95.559	107.9318
66.000000	95.502	107.0124
67.000000	95.415	106.1006
68.000000	95.308	105.3417
69.000000	95.221	104.6825
70.000000	95.144	103.7780
71.000000	95.024	102.8897
72.000000	94.925	102.3224
73.000000	94.866	101.6199
74.000000	94.788	100.9564
75.000000	94.744	100.5065
76.199997	94.711	99.6846
77.500000	94.645	98.8045
78.800003	94.569	97.8293
80.000000	94.470	96.9103
81.199997	94.355	96.1052
82.500000	94.255	95.4529
83.800003	94.188	94.7273
85.000000	94.125	93.9711
86.199997	94.040	93.2474
87.500000	93.955	92.6151
88.500000	93.900	92.0048
90.000000	93.797	90.9584
91.199997	93.714	90.1357
92.500000	93.633	89.3846
93.800003	93.584	88.6827
95.000000	93.538	88.0875
96.199997	93.500	87.5219
97.500000	93.439	86.7844
98.800003	93.346	86.0131
100.000000	93.234	85.4015
101.500000	93.124	84.8774
103.000000	93.064	84.2389
104.400002	93.004	83.5277
106.000000	92.930	83.0217
107.500000	92.932	82.5309
109.000000	92.896	81.0870
110.599998	92.726	79.8308
112.000000	92.576	79.1146
113.800003	92.437	78.6814
115.000000	92.390	78.2595
117.199997	92.343	77.2826
118.000000	92.334	76.7700
120.599998	92.239	75.3298
122.000000	92.175	75.0552
124.099998	92.082	74.8796
125.000000	92.039	74.7456
126.500000	91.981	74.3484
128.000000	91.955	73.4801
131.500000	91.709	71.1944
132.000000	91.680	71.2287
134.000000	91.642	71.2607
136.000000	91.602	70.5899
138.000000	91.536	69.6799
140.000000	91.502	68.7541
143.000000	91.424	67.6733
145.000000	91.329	67.1375
147.500000	91.200	66.2292
150.000000	91.137	65.3065
152.500000	91.064	64.7182
155.000000	90.981	64.1935
157.500000	90.868	62.9524
160.000000	90.788	62.4094
162.500000	90.822	62.8835
165.000000	90.949	62.6178
167.500000	91.037	60.5239
170.000000	90.895	58.5130
172.500000	90.515	57.7102
175.000000	90.156	55.9452
177.500000	90.196	52.7711
180.000000	90.621	52.0071
182.500000	90.949	54.2590
185.000000	90.828	56.0002
187.500000	90.519	55.3515
190.000000	90.347	53.3885
192.500000	90.364	52.8029
195.000000	90.292	52.3615
197.500000	90.245	52.1226
200.000000	90.346	51.3332
203.000000	90.264	50.9119
206.000000	90.039	50.7610
209.000000	90.040	49.3954
