* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 15, 2025 1:42:35 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R 7A Asteria AET07
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	99.277	-11.7921
20.299999	99.246	-12.6870
20.600000	99.201	-13.4880
20.900000	99.156	-14.1582
21.200001	99.127	-14.7290
21.400000	99.120	-15.0967
21.799999	99.133	-15.9270
22.000000	99.146	-16.4285
22.400000	99.161	-17.6099
22.700001	99.152	-18.5824
23.000000	99.121	-19.5373
23.299999	99.075	-20.4078
23.600000	99.026	-21.1693
24.000000	98.967	-22.0543
24.299999	98.931	-22.6748
24.700001	98.883	-23.4873
25.000000	98.841	-24.0594
25.400000	98.776	-24.6765
25.799999	98.719	-25.0419
26.200001	98.703	-25.1930
26.500000	98.731	-25.2848
26.900000	98.819	-25.6016
27.200001	98.907	-26.1081
27.600000	99.012	-27.1994
28.000000	99.064	-28.6533
28.500000	99.014	-30.5623
29.000000	98.856	-31.9980
29.500000	98.675	-32.6109
30.000000	98.569	-32.6195
30.400000	98.560	-32.6029
30.700001	98.581	-32.7558
31.100000	98.611	-33.2257
31.500000	98.618	-33.8984
32.000000	98.590	-34.7906
32.500000	98.543	-35.6227
33.000000	98.490	-36.4330
33.500000	98.424	-37.2128
34.000000	98.350	-37.8530
34.500000	98.302	-38.3601
35.000000	98.295	-38.9637
35.500000	98.299	-39.8550
36.000000	98.266	-40.9188
36.500000	98.197	-41.8499
37.000000	98.133	-42.5140
37.500000	98.106	-43.0870
38.200001	98.096	-44.1276
38.700001	98.062	-44.9579
39.500000	97.974	-45.9635
40.000000	97.936	-46.4149
40.599998	97.908	-46.9956
41.200001	97.870	-47.6556
41.799999	97.817	-48.2910
42.500000	97.751	-48.9614
43.099998	97.699	-49.5428
43.700001	97.649	-50.1856
44.400002	97.588	-51.0416
45.000000	97.526	-51.8409
45.500000	97.468	-52.5125
46.200001	97.386	-53.4296
46.799999	97.316	-54.1798
47.500000	97.241	-54.9191
48.200001	97.208	-55.5142
48.700001	97.220	-56.0435
49.400002	97.241	-57.1640
50.000000	97.203	-58.2940
50.799999	97.081	-59.3666
51.500000	96.995	-59.7918
52.200001	96.956	-60.1324
53.000000	96.933	-60.6889
53.799999	96.901	-61.4574
54.500000	96.838	-62.2104
55.200001	96.754	-62.8092
56.000000	96.684	-63.4222
57.000000	96.590	-64.4937
58.000000	96.464	-65.3290
59.000000	96.405	-66.2480
60.000000	96.301	-67.4196
60.799999	96.218	-68.0507
61.500000	96.184	-68.6827
62.200001	96.134	-69.5066
63.000000	96.041	-70.3587
64.000000	95.934	-71.1605
65.000000	95.844	-71.9114
66.000000	95.768	-72.6487
67.000000	95.700	-73.4137
68.000000	95.640	-74.1658
69.000000	95.585	-75.0316
70.000000	95.504	-75.9295
71.000000	95.408	-76.7161
72.000000	95.307	-77.4015
73.000000	95.220	-78.0088
74.000000	95.152	-78.7113
75.000000	95.083	-79.5303
76.199997	94.996	-80.5130
77.500000	94.915	-81.3741
78.800003	94.881	-82.3454
80.000000	94.803	-83.4519
81.199997	94.680	-84.2041
82.500000	94.566	-84.7136
83.800003	94.484	-85.2164
85.000000	94.432	-85.8960
86.199997	94.362	-86.7948
87.500000	94.276	-87.6398
88.500000	94.232	-88.2799
90.000000	94.152	-89.5689
91.199997	94.013	-90.4392
92.500000	93.875	-90.6617
93.800003	93.840	-90.9467
95.000000	93.799	-91.8947
96.199997	93.689	-92.7461
97.500000	93.607	-93.3896
98.800003	93.517	-94.2993
100.000000	93.385	-94.4379
101.500000	93.392	-94.1648
103.000000	93.326	-95.1878
104.400002	93.185	-95.3835
106.000000	93.151	-96.4933
107.500000	93.056	-98.2887
109.000000	92.948	-99.6666
110.599998	92.895	-100.5304
112.000000	92.819	-101.3069
113.800003	92.638	-101.7551
115.000000	92.538	-102.0579
117.199997	92.470	-103.0489
118.000000	92.483	-103.5274
120.599998	92.462	-105.1754
122.000000	92.301	-105.2702
124.099998	91.951	-106.8562
125.000000	91.736	-107.7009
126.500000	91.549	-109.7672
128.000000	91.425	-112.6683
131.500000	91.711	-109.9314
132.000000	91.803	-109.9305
134.000000	91.879	-110.5493
136.000000	91.716	-111.2788
138.000000	91.523	-112.5081
140.000000	91.486	-112.9681
143.000000	91.586	-113.2665
145.000000	91.574	-113.5341
147.500000	91.423	-114.3382
150.000000	91.279	-115.0280
152.500000	91.214	-116.1052
155.000000	91.166	-116.9637
157.500000	91.135	-117.4341
160.000000	91.082	-117.9576
162.500000	91.004	-118.9671
165.000000	90.930	-120.0069
167.500000	90.864	-120.8760
170.000000	90.770	-121.6594
172.500000	90.661	-122.4636
175.000000	90.588	-123.0791
