* Measurement data measured by REW V5.31.3
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 24, 2024 8:38:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L 7hz x Crinacle Zero:2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	105.505	-171.3772
20.299999	105.499	-172.0140
20.600000	105.491	-172.6409
20.900000	105.479	-173.2500
21.200001	105.466	-173.8381
21.400000	105.456	-174.2192
21.799999	105.436	-174.9578
22.000000	105.425	-175.3153
22.400000	105.401	-176.0024
22.700001	105.383	-176.4898
23.000000	105.365	-176.9560
23.299999	105.350	-177.4113
23.600000	105.336	-177.8702
24.000000	105.318	-178.5067
24.299999	105.301	-179.0012
24.700001	105.268	-179.6552
25.000000	105.237	179.8849
25.400000	105.194	179.3375
25.799999	105.155	178.8560
26.200001	105.125	178.3973
26.500000	105.107	178.0406
26.900000	105.085	177.5315
27.200001	105.067	177.1295
27.600000	105.038	176.5851
28.000000	105.006	176.0486
28.500000	104.962	175.4023
29.000000	104.914	174.7983
29.500000	104.865	174.2620
30.000000	104.822	173.7946
30.400000	104.798	173.4356
30.700001	104.784	173.1495
31.100000	104.766	172.7285
31.500000	104.745	172.2715
32.000000	104.707	171.7023
32.500000	104.662	171.1885
33.000000	104.620	170.7289
33.500000	104.581	170.2829
34.000000	104.542	169.8311
34.500000	104.500	169.3930
35.000000	104.458	168.9857
35.500000	104.420	168.5908
36.000000	104.383	168.1780
36.500000	104.343	167.7490
37.000000	104.298	167.3375
37.500000	104.253	166.9657
38.200001	104.196	166.4738
38.700001	104.158	166.1090
39.500000	104.095	165.5263
40.000000	104.058	165.1685
40.599998	104.016	164.6943
41.200001	103.963	164.1684
41.799999	103.892	163.7028
42.500000	103.808	163.3558
43.099998	103.757	163.1383
43.700001	103.721	162.8642
44.400002	103.675	162.4783
45.000000	103.631	162.1712
45.500000	103.599	161.9341
46.200001	103.558	161.5698
46.799999	103.520	161.2094
47.500000	103.462	160.7853
48.200001	103.395	160.4311
48.700001	103.347	160.2336
49.400002	103.287	159.9839
50.000000	103.240	159.7421
50.799999	103.169	159.4077
51.500000	103.105	159.1693
52.200001	103.050	158.9476
53.000000	102.992	158.6637
53.799999	102.937	158.3800
54.500000	102.898	158.0780
55.200001	102.851	157.6779
56.000000	102.770	157.2698
57.000000	102.671	157.0499
58.000000	102.609	156.8611
59.000000	102.546	156.5626
60.000000	102.478	156.2828
60.799999	102.424	156.0477
61.500000	102.373	155.8393
62.200001	102.320	155.6534
63.000000	102.262	155.4540
64.000000	102.189	155.1946
65.000000	102.112	154.9814
66.000000	102.042	154.8202
67.000000	101.979	154.6688
68.000000	101.920	154.4874
69.000000	101.853	154.2532
70.000000	101.776	154.0741
71.000000	101.703	153.9394
72.000000	101.634	153.7813
73.000000	101.566	153.6157
74.000000	101.500	153.4429
75.000000	101.436	153.2755
