* Measurement data measured by REW V5.31.3
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 24, 2024 8:33:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R 7hz x Crinacle Zero:2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	106.425	-174.2884
20.299999	106.405	-174.8495
20.600000	106.390	-175.4129
20.900000	106.377	-175.9956
21.200001	106.362	-176.5972
21.400000	106.349	-177.0015
21.799999	106.319	-177.7938
22.000000	106.302	-178.1736
22.400000	106.268	-178.8968
22.700001	106.245	-179.4155
23.000000	106.224	-179.9249
23.299999	106.203	179.5690
23.600000	106.182	179.0652
24.000000	106.153	178.4027
24.299999	106.130	177.9177
24.700001	106.098	177.2911
25.000000	106.073	176.8375
25.400000	106.040	176.2554
25.799999	106.006	175.6976
26.200001	105.974	175.1573
26.500000	105.950	174.7573
26.900000	105.918	174.2254
27.200001	105.892	173.8287
27.600000	105.856	173.3110
28.000000	105.818	172.8155
28.500000	105.771	172.2274
29.000000	105.727	171.6539
29.500000	105.684	171.0786
30.000000	105.641	170.5065
30.400000	105.606	170.0558
30.700001	105.581	169.7180
31.100000	105.549	169.2589
31.500000	105.515	168.7868
32.000000	105.465	168.2025
32.500000	105.407	167.6751
33.000000	105.351	167.2333
33.500000	105.305	166.8448
34.000000	105.269	166.4487
34.500000	105.234	166.0164
35.000000	105.194	165.5699
35.500000	105.149	165.1448
36.000000	105.103	164.7512
36.500000	105.058	164.3753
37.000000	105.014	164.0045
37.500000	104.968	163.6387
38.200001	104.902	163.1413
38.700001	104.855	162.7964
39.500000	104.781	162.2563
40.000000	104.737	161.9084
40.599998	104.682	161.4548
41.200001	104.618	160.9880
41.799999	104.544	160.5927
42.500000	104.465	160.2687
43.099998	104.418	160.0090
43.700001	104.379	159.6688
44.400002	104.324	159.2063
45.000000	104.270	158.8409
45.500000	104.225	158.5701
46.200001	104.164	158.2101
46.799999	104.112	157.9130
47.500000	104.051	157.5917
48.200001	103.991	157.2917
48.700001	103.948	157.0843
49.400002	103.889	156.7910
50.000000	103.837	156.5292
50.799999	103.762	156.1957
51.500000	103.698	155.9280
52.200001	103.636	155.6286
53.000000	103.555	155.2768
53.799999	103.472	155.0296
54.500000	103.416	154.8295
55.200001	103.364	154.5598
56.000000	103.295	154.2691
57.000000	103.221	153.9915
58.000000	103.156	153.6567
59.000000	103.084	153.3234
60.000000	103.007	153.0131
