* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 15, 2025 1:09:28 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L Grado GR10E AET07
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	88.349	24.8696
20.299999	88.368	24.6832
20.600000	88.380	24.5080
20.900000	88.389	24.3459
21.200001	88.397	24.1907
21.400000	88.402	24.0834
21.799999	88.414	23.8385
22.000000	88.420	23.6947
22.400000	88.429	23.3687
22.700001	88.432	23.1084
23.000000	88.435	22.8544
23.299999	88.439	22.6149
23.600000	88.450	22.3839
24.000000	88.475	22.0560
24.299999	88.501	21.7706
24.700001	88.536	21.3273
25.000000	88.558	20.9673
25.400000	88.576	20.5078
25.799999	88.586	20.1364
26.200001	88.597	19.8861
26.500000	88.612	19.7646
26.900000	88.643	19.6425
27.200001	88.672	19.5469
27.600000	88.711	19.3923
28.000000	88.745	19.2214
28.500000	88.778	19.0292
29.000000	88.809	18.8555
29.500000	88.835	18.6324
30.000000	88.842	18.3607
30.400000	88.829	18.1938
30.700001	88.816	18.1423
31.100000	88.810	18.1539
31.500000	88.828	18.1445
32.000000	88.869	17.8816
32.500000	88.880	17.3096
33.000000	88.825	16.7442
33.500000	88.734	16.5807
34.000000	88.682	16.8696
34.500000	88.711	17.2418
35.000000	88.797	17.2878
35.500000	88.881	16.9333
36.000000	88.929	16.3810
36.500000	88.947	15.8461
37.000000	88.947	15.4250
37.500000	88.943	15.1483
38.200001	88.951	15.0284
38.700001	88.989	15.0514
39.500000	89.100	14.9048
40.000000	89.170	14.5992
40.599998	89.229	14.0985
41.200001	89.252	13.5625
41.799999	89.232	13.1176
42.500000	89.168	12.9755
43.099998	89.129	13.2268
43.700001	89.138	13.5359
44.400002	89.173	13.6344
45.000000	89.195	13.5325
45.500000	89.212	13.3478
46.200001	89.222	12.8381
46.799999	89.179	12.2882
47.500000	89.081	12.0298
48.200001	89.030	12.3137
48.700001	89.056	12.5327
49.400002	89.134	12.5005
50.000000	89.193	12.2013
50.799999	89.235	11.7161
51.500000	89.244	11.4030
52.200001	89.246	11.2778
53.000000	89.260	11.2307
53.799999	89.272	11.1383
54.500000	89.272	11.0873
55.200001	89.278	11.0581
56.000000	89.288	10.9234
57.000000	89.278	10.7089
58.000000	89.276	10.6256
59.000000	89.296	10.4888
60.000000	89.310	10.3080
60.799999	89.321	10.2040
61.500000	89.333	10.1084
62.200001	89.340	10.0034
63.000000	89.345	9.9007
64.000000	89.350	9.7714
65.000000	89.351	9.6217
66.000000	89.351	9.5093
67.000000	89.360	9.4077
68.000000	89.373	9.2727
69.000000	89.382	9.1208
70.000000	89.388	8.9859
71.000000	89.394	8.8646
72.000000	89.399	8.7358
73.000000	89.402	8.6019
74.000000	89.404	8.4915
75.000000	89.412	8.3873
76.199997	89.422	8.2468
77.500000	89.431	8.1321
78.800003	89.440	8.0238
80.000000	89.445	7.9191
81.199997	89.447	7.8156
82.500000	89.451	7.6981
83.800003	89.456	7.5576
85.000000	89.459	7.4272
86.199997	89.463	7.3226
87.500000	89.470	7.2218
88.500000	89.474	7.1428
90.000000	89.479	7.0338
91.199997	89.483	6.9510
92.500000	89.488	6.8540
93.800003	89.494	6.7461
95.000000	89.498	6.6383
96.199997	89.501	6.5396
97.500000	89.503	6.4406
98.800003	89.505	6.3580
100.000000	89.508	6.2964
101.500000	89.514	6.2122
103.000000	89.518	6.1134
104.400002	89.521	6.0055
106.000000	89.522	5.8875
107.500000	89.524	5.7919
109.000000	89.527	5.6941
110.599998	89.529	5.5993
112.000000	89.530	5.5327
113.800003	89.534	5.4474
115.000000	89.537	5.3797
117.199997	89.539	5.2441
118.000000	89.539	5.1982
120.599998	89.542	5.0608
122.000000	89.543	4.9838
124.099998	89.546	4.8783
125.000000	89.547	4.8403
126.500000	89.548	4.7881
128.000000	89.549	4.7424
131.500000	89.554	4.5726
132.000000	89.554	4.5447
134.000000	89.556	4.4366
136.000000	89.557	4.3400
138.000000	89.559	4.2549
140.000000	89.559	4.1762
143.000000	89.558	4.0776
145.000000	89.558	4.0038
147.500000	89.559	3.8984
150.000000	89.559	3.7994
152.500000	89.558	3.7090
155.000000	89.559	3.6243
157.500000	89.561	3.5409
160.000000	89.562	3.4547
162.500000	89.561	3.3821
165.000000	89.560	3.3136
167.500000	89.560	3.2411
170.000000	89.558	3.1609
172.500000	89.556	3.0856
175.000000	89.555	3.0032
177.500000	89.553	2.9200
180.000000	89.552	2.8558
182.500000	89.552	2.8043
185.000000	89.550	2.7629
187.500000	89.547	2.7188
190.000000	89.543	2.6614
192.500000	89.540	2.5775
195.000000	89.539	2.5082
197.500000	89.538	2.4490
200.000000	89.536	2.3826
203.000000	89.531	2.3138
206.000000	89.529	2.2623
209.000000	89.525	2.2018
212.000000	89.522	2.1749
214.000000	89.522	2.1429
218.000000	89.518	2.0061
220.000000	89.513	1.9810
224.000000	89.512	1.9821
227.000000	89.512	1.9370
230.000000	89.516	1.8782
233.000000	89.518	1.7693
236.000000	89.507	1.6217
240.000000	89.477	1.5439
243.000000	89.469	1.5317
247.000000	89.477	1.3651
250.000000	89.487	1.2495
254.000000	89.509	1.3071
258.000000	89.509	1.3737
262.000000	89.491	1.3943
265.000000	89.485	1.3131
269.000000	89.484	1.2190
272.000000	89.486	1.1823
276.000000	89.482	1.1235
280.000000	89.470	1.0588
285.000000	89.458	0.9923
290.000000	89.450	0.9168
295.000000	89.438	0.8698
300.000000	89.429	0.8318
304.000000	89.423	0.7924
307.000000	89.419	0.7717
311.000000	89.414	0.7142
315.000000	89.405	0.6632
320.000000	89.397	0.6154
325.000000	89.389	0.5704
330.000000	89.380	0.5310
335.000000	89.370	0.4924
340.000000	89.361	0.4595
345.000000	89.353	0.4274
350.000000	89.346	0.3902
355.000000	89.336	0.3388
360.000000	89.324	0.3009
365.000000	89.315	0.2879
370.000000	89.306	0.2759
375.000000	89.296	0.2628
382.000000	89.283	0.2189
387.000000	89.274	0.1854
395.000000	89.260	0.1447
400.000000	89.253	0.1209
406.000000	89.243	0.0903
412.000000	89.230	0.0562
418.000000	89.219	0.0449
425.000000	89.202	0.0571
431.000000	89.189	0.0573
437.000000	89.178	0.0540
444.000000	89.166	0.0337
450.000000	89.154	0.0126
455.000000	89.145	0.0028
462.000000	89.132	0.0004
468.000000	89.120	0.0024
475.000000	89.105	0.0016
482.000000	89.092	0.0076
487.000000	89.083	0.0065
494.000000	89.070	-0.0095
500.000000	89.059	-0.0189
508.000000	89.045	-0.0116
515.000000	89.033	-0.0021
522.000000	89.021	0.0089
530.000000	89.007	0.0190
538.000000	88.992	0.0242
545.000000	88.979	0.0329
552.000000	88.967	0.0399
560.000000	88.955	0.0280
570.000000	88.939	0.0176
580.000000	88.925	0.0256
590.000000	88.910	0.0228
600.000000	88.894	0.0245
608.000000	88.882	0.0244
615.000000	88.873	0.0092
622.000000	88.864	-0.0123
630.000000	88.849	-0.0250
640.000000	88.836	-0.0653
650.000000	88.823	-0.1165
660.000000	88.807	-0.1622
670.000000	88.790	-0.2079
680.000000	88.774	-0.2772
690.000000	88.758	-0.3778
700.000000	88.741	-0.4936
710.000000	88.722	-0.6310
720.000000	88.701	-0.7868
730.000000	88.677	-0.9619
740.000000	88.650	-1.1591
750.000000	88.618	-1.3657
762.000000	88.571	-1.6394
775.000000	88.512	-1.9653
788.000000	88.442	-2.3098
800.000000	88.366	-2.6304
812.000000	88.279	-2.9600
825.000000	88.169	-3.3138
838.000000	88.037	-3.6280
850.000000	87.897	-3.8527
862.000000	87.740	-3.9799
875.000000	87.556	-3.9793
885.000000	87.408	-3.8666
