* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 15, 2025 1:12:04 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R Grado GR10E AET07
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	88.240	-155.1890
20.299999	88.268	-155.5252
20.600000	88.289	-155.8570
20.900000	88.305	-156.1519
21.200001	88.320	-156.3890
21.400000	88.332	-156.5187
21.799999	88.371	-156.7632
22.000000	88.396	-156.9094
22.400000	88.445	-157.2991
22.700001	88.470	-157.6563
23.000000	88.477	-157.9994
23.299999	88.472	-158.2526
23.600000	88.467	-158.3795
24.000000	88.487	-158.4270
24.299999	88.529	-158.5058
24.700001	88.599	-158.8410
25.000000	88.637	-159.2665
25.400000	88.644	-159.8865
25.799999	88.614	-160.3161
26.200001	88.591	-160.4753
26.500000	88.599	-160.5370
26.900000	88.632	-160.7181
27.200001	88.650	-160.9610
27.600000	88.640	-161.2588
28.000000	88.610	-161.2717
28.500000	88.630	-160.8854
29.000000	88.746	-160.6617
29.500000	88.857	-160.9694
30.000000	88.885	-161.2537
30.400000	88.903	-161.0784
30.700001	88.965	-160.8476
31.100000	89.111	-160.8854
31.500000	89.237	-161.6110
32.000000	89.200	-162.8006
32.500000	88.988	-162.5929
33.000000	88.982	-160.4804
33.500000	89.431	-159.1308
34.000000	89.978	-161.0862
34.500000	90.112	-165.4621
35.000000	89.664	-169.2339
35.500000	88.921	-169.4892
36.000000	88.516	-166.1301
36.500000	88.727	-163.0647
37.000000	89.112	-162.9901
37.500000	89.239	-164.6716
38.200001	89.035	-166.0196
38.700001	88.938	-165.6362
39.500000	89.022	-165.2493
40.000000	89.049	-165.5551
40.599998	89.024	-165.6716
41.200001	89.050	-165.4472
41.799999	89.129	-165.5018
42.500000	89.169	-166.0103
43.099998	89.141	-166.2909
43.700001	89.115	-166.2579
44.400002	89.123	-166.1513
45.000000	89.137	-166.1580
45.500000	89.146	-166.1772
46.200001	89.172	-166.2218
