* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 18, 2025 3:40:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L Black (M)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	105.437	-166.5426
20.299999	105.445	-167.3014
20.600000	105.455	-168.0782
20.900000	105.463	-168.8886
21.200001	105.464	-169.7293
21.400000	105.458	-170.2926
21.799999	105.428	-171.3651
22.000000	105.407	-171.8461
22.400000	105.364	-172.6586
22.700001	105.341	-173.1523
23.000000	105.335	-173.6000
23.299999	105.345	-174.0656
23.600000	105.364	-174.5996
24.000000	105.389	-175.4412
24.299999	105.397	-176.1371
24.700001	105.388	-177.0626
25.000000	105.370	-177.7026
25.400000	105.343	-178.4540
25.799999	105.321	-179.1169
26.200001	105.308	-179.7489
26.500000	105.302	179.7715
26.900000	105.294	179.1165
27.200001	105.286	178.6199
27.600000	105.273	177.9603
28.000000	105.259	177.3058
28.500000	105.239	176.4893
29.000000	105.214	175.6761
29.500000	105.184	174.8807
30.000000	105.153	174.1118
30.400000	105.127	173.5130
30.700001	105.107	173.0719
31.100000	105.081	172.4951
31.500000	105.055	171.9333
32.000000	105.024	171.2500
32.500000	104.996	170.5748
33.000000	104.968	169.8964
33.500000	104.938	169.2210
34.000000	104.906	168.5660
34.500000	104.874	167.9389
35.000000	104.843	167.3289
35.500000	104.812	166.7231
36.000000	104.779	166.1241
36.500000	104.744	165.5468
37.000000	104.710	164.9954
37.500000	104.678	164.4556
38.200001	104.635	163.6878
38.700001	104.603	163.1340
39.500000	104.547	162.2688
40.000000	104.513	161.7407
40.599998	104.471	161.1157
41.200001	104.427	160.5116
41.799999	104.384	159.9328
42.500000	104.335	159.2721
43.099998	104.291	158.7223
43.700001	104.248	158.2023
44.400002	104.202	157.6061
45.000000	104.163	157.0674
45.500000	104.126	156.6089
46.200001	104.069	155.9997
46.799999	104.020	155.5120
47.500000	103.966	154.9493
48.200001	103.911	154.3970
48.700001	103.873	154.0218
49.400002	103.825	153.5082
50.000000	103.787	153.0514
50.799999	103.735	152.4177
51.500000	103.686	151.8781
52.200001	103.635	151.3774
53.000000	103.581	150.8318
53.799999	103.528	150.2762
54.500000	103.478	149.7901
55.200001	103.425	149.3281
56.000000	103.365	148.8214
57.000000	103.293	148.1850
58.000000	103.219	147.5388
59.000000	103.143	146.9297
60.000000	103.076	146.3666
60.799999	103.027	145.8897
61.500000	102.982	145.4610
62.200001	102.935	145.0520
63.000000	102.882	144.6092
64.000000	102.816	144.0812
65.000000	102.751	143.5855
66.000000	102.689	143.1000
67.000000	102.627	142.5921
68.000000	102.558	142.0807
69.000000	102.487	141.6167
70.000000	102.419	141.1618
71.000000	102.350	140.7142
72.000000	102.282	140.2854
73.000000	102.215	139.8649
74.000000	102.151	139.4525
75.000000	102.088	139.0292
76.199997	102.014	138.5368
77.500000	101.937	138.0086
78.800003	101.862	137.4746
80.000000	101.788	136.9976
81.199997	101.715	136.5645
82.500000	101.637	136.1250
83.800003	101.566	135.7136
85.000000	101.504	135.2737
86.199997	101.435	134.8352
87.500000	101.362	134.4013
88.500000	101.309	134.0849
90.000000	101.232	133.5835
91.199997	101.164	133.2023
92.500000	101.089	132.8475
93.800003	101.020	132.4977
95.000000	100.956	132.1377
96.199997	100.890	131.7766
97.500000	100.820	131.3990
98.800003	100.753	131.0424
100.000000	100.696	130.7365
101.500000	100.626	130.3369
103.000000	100.552	129.9889
104.400002	100.490	129.6681
106.000000	100.416	129.2566
107.500000	100.344	128.8638
109.000000	100.267	128.4894
110.599998	100.189	128.1324
112.000000	100.123	127.8158
113.800003	100.044	127.4336
115.000000	99.995	127.1715
117.199997	99.899	126.6866
118.000000	99.861	126.5309
120.599998	99.735	126.0862
122.000000	99.671	125.8180
124.099998	99.576	125.3152
125.000000	99.533	125.0944
126.500000	99.460	124.7867
128.000000	99.386	124.5601
131.500000	99.206	124.2017
132.000000	99.178	124.1422
134.000000	99.063	123.9791
136.000000	98.972	123.9385
138.000000	98.913	124.0073
140.000000	98.870	124.0962
143.000000	98.815	124.2689
145.000000	98.787	124.1591
147.500000	98.739	123.9289
150.000000	98.691	123.7422
152.500000	98.638	123.5368
155.000000	98.574	123.3549
157.500000	98.513	123.3419
160.000000	98.466	123.4130
162.500000	98.419	123.5532
165.000000	98.385	123.8427
167.500000	98.380	124.2969
170.000000	98.401	124.9817
172.500000	98.467	126.1961
175.000000	98.721	128.2823
177.500000	99.463	130.7600
180.000000	100.921	130.1562
182.500000	102.198	120.5295
185.000000	101.835	106.5089
187.500000	100.188	100.3979
190.000000	98.822	101.9149
192.500000	98.190	104.6806
195.000000	97.933	106.5153
197.500000	97.794	107.5966
200.000000	97.694	108.3071
203.000000	97.607	108.8575
206.000000	97.543	109.1224
209.000000	97.492	109.2036
212.000000	97.447	109.1920
214.000000	97.415	109.1566
218.000000	97.339	109.0045
220.000000	97.299	108.8857
224.000000	97.225	108.5805
227.000000	97.178	108.3104
230.000000	97.136	108.0279
233.000000	97.096	107.7596
236.000000	97.066	107.4325
240.000000	97.015	106.3408
243.000000	96.813	104.9400
247.000000	96.300	105.5369
250.000000	96.152	108.7438
254.000000	96.628	111.4852
258.000000	96.957	109.0923
262.000000	96.903	107.0303
265.000000	96.809	106.2328
269.000000	96.695	105.6157
272.000000	96.620	105.3061
276.000000	96.527	105.0193
280.000000	96.437	104.8562
285.000000	96.337	104.7703
290.000000	96.265	104.7856
295.000000	96.225	104.8876
300.000000	96.210	105.0777
304.000000	96.212	105.2046
307.000000	96.222	105.2274
311.000000	96.249	105.2019
315.000000	96.281	105.0994
320.000000	96.319	104.8883
325.000000	96.356	104.5798
330.000000	96.388	104.1905
335.000000	96.417	103.7595
340.000000	96.443	103.3197
345.000000	96.464	102.8755
350.000000	96.481	102.4347
355.000000	96.496	101.9815
360.000000	96.510	101.5008
365.000000	96.523	101.0197
370.000000	96.533	100.5547
375.000000	96.542	100.1035
382.000000	96.554	99.4899
387.000000	96.562	99.0598
395.000000	96.575	98.3722
400.000000	96.584	97.9471
406.000000	96.594	97.4477
412.000000	96.604	96.9615
418.000000	96.614	96.4809
425.000000	96.627	95.9322
431.000000	96.639	95.4612
437.000000	96.651	94.9964
444.000000	96.666	94.4703
450.000000	96.680	94.0304
455.000000	96.692	93.6660
462.000000	96.710	93.1562
468.000000	96.726	92.7317
475.000000	96.746	92.2567
482.000000	96.767	91.7862
487.000000	96.784	91.4510
494.000000	96.809	90.9814
500.000000	96.833	90.5801
508.000000	96.869	90.0449
515.000000	96.903	89.5582
522.000000	96.939	89.0518
530.000000	96.981	88.4588
538.000000	97.030	87.8274
545.000000	97.079	87.1799
552.000000	97.122	86.3546
560.000000	97.126	85.2507
570.000000	97.060	84.1872
580.000000	96.997	83.6681
590.000000	96.977	83.2868
600.000000	96.978	82.8735
608.000000	96.985	82.5136
615.000000	96.993	82.1872
622.000000	97.001	81.8589
630.000000	97.010	81.4877
640.000000	97.020	81.0301
650.000000	97.029	80.5797
660.000000	97.039	80.1487
670.000000	97.048	79.7358
680.000000	97.056	79.3369
690.000000	97.065	78.9521
700.000000	97.071	78.5835
710.000000	97.075	78.2370
720.000000	97.077	77.9275
730.000000	97.078	77.6633
740.000000	97.080	77.4486
750.000000	97.084	77.2867
762.000000	97.095	77.1540
775.000000	97.116	77.0646
788.000000	97.151	77.0043
800.000000	97.192	76.9535
812.000000	97.241	76.8918
825.000000	97.300	76.7997
838.000000	97.364	76.6823
850.000000	97.424	76.5556
862.000000	97.486	76.4174
875.000000	97.554	76.2641
885.000000	97.606	76.1459
900.000000	97.686	75.9677
912.000000	97.751	75.8282
925.000000	97.823	75.6787
938.000000	97.897	75.5309
950.000000	97.967	75.3971
962.000000	98.038	75.2621
975.000000	98.119	75.1114
988.000000	98.202	74.9542
1000.000000	98.281	74.8001
1015.000000	98.382	74.5927
1030.000000	98.486	74.3710
1044.000000	98.583	74.1485
1060.000000	98.697	73.8688
1075.000000	98.804	73.5792
1090.000000	98.911	73.2630
1106.000000	99.025	72.8995
1120.000000	99.124	72.5591
1138.000000	99.250	72.0907
1150.000000	99.332	71.7607
1172.000000	99.479	71.1230
1180.000000	99.531	70.8806
1206.000000	99.693	70.0648
1220.000000	99.776	69.6113
1241.000000	99.895	68.9131
1250.000000	99.945	68.6089
1265.000000	100.024	68.0994
1280.000000	100.099	67.5888
1315.000000	100.262	66.3975
1320.000000	100.284	66.2286
1340.000000	100.368	65.5568
1360.000000	100.446	64.8970
1380.000000	100.520	64.2539
1400.000000	100.590	63.6251
1430.000000	100.687	62.7172
1450.000000	100.749	62.1333
1475.000000	100.822	61.4290
1500.000000	100.891	60.7534
1525.000000	100.958	60.1068
1550.000000	101.022	59.4860
1575.000000	101.084	58.8903
1600.000000	101.145	58.3202
1625.000000	101.205	57.7697
1650.000000	101.264	57.2383
1675.000000	101.323	56.7281
1700.000000	101.381	56.2344
1725.000000	101.440	55.7538
1750.000000	101.498	55.2865
1775.000000	101.557	54.8274
1800.000000	101.617	54.3758
1825.000000	101.676	53.9333
1850.000000	101.735	53.4956
1875.000000	101.795	53.0627
1900.000000	101.855	52.6329
1925.000000	101.915	52.2036
1950.000000	101.975	51.7773
1975.000000	102.033	51.3572
2000.000000	102.092	50.9470
2030.000000	102.163	50.4730
2060.000000	102.237	50.0264
2090.000000	102.318	49.6036
2120.000000	102.409	49.1824
2140.000000	102.477	48.8781
2180.000000	102.624	48.1402
2200.000000	102.698	47.6931
2240.000000	102.835	46.6751
2270.000000	102.925	45.8472
2300.000000	103.005	44.9955
2330.000000	103.077	44.1370
2360.000000	103.142	43.2808
2400.000000	103.225	42.1459
2430.000000	103.285	41.2793
2470.000000	103.362	40.0687
2500.000000	103.415	39.1139
2540.000000	103.473	37.7857
2580.000000	103.517	36.4182
2620.000000	103.546	35.0288
2650.000000	103.559	33.9755
2690.000000	103.563	32.5622
2720.000000	103.556	31.5023
2760.000000	103.534	30.0938
2800.000000	103.497	28.6986
2850.000000	103.430	26.9902
2900.000000	103.341	25.3426
2950.000000	103.233	23.7742
3000.000000	103.106	22.2885
3040.000000	102.992	21.1665
3070.000000	102.900	20.3807
3110.000000	102.774	19.4069
3150.000000	102.644	18.4706
3200.000000	102.469	17.3638
3250.000000	102.280	16.3522
3300.000000	102.078	15.4473
3350.000000	101.864	14.6687
3400.000000	101.639	14.0457
3450.000000	101.405	13.6082
3500.000000	101.168	13.3748
3550.000000	100.935	13.3575
3600.000000	100.713	13.5559
3650.000000	100.511	13.9462
3700.000000	100.332	14.4865
3750.000000	100.182	15.1323
3820.000000	100.024	16.1387
3870.000000	99.949	16.8673
3950.000000	99.893	17.8932
4000.000000	99.888	18.3681
4060.000000	99.897	18.7295
4120.000000	99.914	18.8601
4180.000000	99.926	18.7755
4250.000000	99.921	18.4609
4310.000000	99.893	18.0694
4370.000000	99.842	17.6283
4440.000000	99.751	17.1376
4500.000000	99.654	16.7965
4550.000000	99.564	16.5874
4620.000000	99.433	16.4045
4680.000000	99.320	16.3317
4750.000000	99.190	16.3252
4820.000000	99.062	16.3853
4870.000000	98.972	16.4653
4940.000000	98.849	16.6302
5000.000000	98.747	16.8218
5080.000000	98.617	17.1489
5150.000000	98.512	17.4952
5220.000000	98.417	17.8859
5300.000000	98.324	18.3642
5380.000000	98.249	18.8419
5450.000000	98.199	19.2258
5520.000000	98.161	19.5469
5600.000000	98.128	19.8045
5700.000000	98.092	19.9185
5800.000000	98.045	19.7805
5900.000000	97.967	19.4393
6000.000000	97.847	18.9978
6080.000000	97.718	18.6594
6150.000000	97.583	18.4323
6220.000000	97.431	18.3044
6300.000000	97.244	18.3022
6400.000000	97.001	18.5314
6500.000000	96.764	18.9966
6600.000000	96.538	19.5885
6700.000000	96.314	20.2762
6800.000000	96.091	21.1107
6900.000000	95.874	22.0699
7000.000000	95.661	23.1489
7100.000000	95.442	24.3674
7200.000000	95.221	25.9703
7300.000000	95.050	27.9000
7400.000000	94.924	29.9081
7500.000000	94.836	31.9919
7620.000000	94.773	34.5906
7750.000000	94.766	37.6406
7880.000000	94.858	40.9647
8000.000000	95.061	44.1245
8120.000000	95.394	47.1565
8250.000000	95.905	50.0764
8380.000000	96.578	52.3498
8500.000000	97.335	53.6047
8620.000000	98.209	53.7828
8750.000000	99.255	52.4243
8850.000000	100.090	50.0585
9000.000000	101.284	44.1026
9120.000000	102.071	37.3397
9250.000000	102.638	28.5437
9380.000000	102.850	19.1497
9500.000000	102.755	10.8212
9620.000000	102.461	3.3889
9750.000000	102.029	-3.4460
9880.000000	101.582	-9.1820
10000.000000	101.215	-13.8539
10150.000000	100.845	-19.4670
10300.000000	100.534	-25.4392
10440.000000	100.209	-31.6229
10600.000000	99.682	-39.1207
10750.000000	98.993	-45.9499
10900.000000	98.123	-51.9774
11060.000000	97.061	-56.8861
11200.000000	96.119	-59.6538
11380.000000	95.038	-61.4474
11500.000000	94.446	-61.9617
11720.000000	93.629	-62.1119
11800.000000	93.436	-61.9769
12060.000000	93.284	-62.5549
12200.000000	93.410	-64.4437
12410.000000	93.648	-69.7819
12500.000000	93.715	-72.9013
12650.000000	93.728	-78.9373
12800.000000	93.589	-85.6223
13150.000000	92.778	-101.2453
13200.000000	92.642	-103.3466
13400.000000	92.168	-111.5788
13600.000000	91.948	-120.6677
