* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 18, 2025 3:23:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R Black (M)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	104.932	-167.0101
20.299999	104.938	-167.7588
20.600000	104.946	-168.4903
20.900000	104.957	-169.2141
21.200001	104.973	-169.9517
21.400000	104.983	-170.4621
21.799999	105.000	-171.5360
22.000000	105.002	-172.0908
22.400000	104.989	-173.1850
22.700001	104.966	-173.9435
23.000000	104.938	-174.6181
23.299999	104.910	-175.2090
23.600000	104.889	-175.7413
24.000000	104.873	-176.4236
24.299999	104.865	-176.9495
24.700001	104.852	-177.6767
25.000000	104.839	-178.2216
25.400000	104.817	-178.9156
25.799999	104.797	-179.5695
26.200001	104.784	179.7812
26.500000	104.776	179.2720
26.900000	104.763	178.5546
27.200001	104.748	178.0030
27.600000	104.721	177.2865
28.000000	104.690	176.6197
28.500000	104.656	175.8477
29.000000	104.632	175.0875
29.500000	104.609	174.2997
30.000000	104.583	173.5002
30.400000	104.560	172.8748
30.700001	104.542	172.4182
31.100000	104.519	171.8202
31.500000	104.496	171.2263
32.000000	104.465	170.4886
32.500000	104.429	169.7728
33.000000	104.392	169.0953
33.500000	104.356	168.4517
34.000000	104.321	167.8233
34.500000	104.288	167.1978
35.000000	104.253	166.5768
35.500000	104.217	165.9662
36.000000	104.181	165.3664
36.500000	104.145	164.7755
37.000000	104.108	164.1954
37.500000	104.072	163.6303
38.200001	104.023	162.8579
38.700001	103.989	162.3080
39.500000	103.933	161.4313
40.000000	103.896	160.9006
40.599998	103.851	160.2901
41.200001	103.807	159.7006
41.799999	103.764	159.1212
42.500000	103.713	158.4521
43.099998	103.668	157.8870
43.700001	103.621	157.3391
44.400002	103.568	156.7251
45.000000	103.526	156.1984
45.500000	103.490	155.7440
46.200001	103.433	155.1051
46.799999	103.379	154.6022
47.500000	103.320	154.0873
48.200001	103.272	153.5900
48.700001	103.241	153.2100
49.400002	103.194	152.6474
50.000000	103.150	152.1686
50.799999	103.088	151.5657
51.500000	103.036	151.0568
52.200001	102.982	150.5511
53.000000	102.919	149.9963
53.799999	102.858	149.4775
54.500000	102.809	149.0258
55.200001	102.762	148.5571
56.000000	102.705	148.0067
57.000000	102.628	147.3140
58.000000	102.541	146.6911
59.000000	102.463	146.1761
60.000000	102.399	145.6429
60.799999	102.348	145.1794
61.500000	102.301	144.7806
62.200001	102.253	144.3997
63.000000	102.201	143.9761
64.000000	102.137	143.4392
65.000000	102.070	142.9050
66.000000	102.002	142.3863
67.000000	101.932	141.8720
68.000000	101.858	141.3898
69.000000	101.786	140.9457
70.000000	101.719	140.5173
71.000000	101.654	140.0754
72.000000	101.586	139.6446
73.000000	101.522	139.2452
74.000000	101.460	138.8260
75.000000	101.395	138.4087
76.199997	101.317	137.9250
77.500000	101.232	137.4172
78.800003	101.152	136.9120
80.000000	101.075	136.4402
81.199997	100.999	136.0179
82.500000	100.923	135.5670
83.800003	100.846	135.1153
85.000000	100.775	134.7158
86.199997	100.707	134.3154
87.500000	100.632	133.8849
88.500000	100.574	133.5750
90.000000	100.492	133.1284
91.199997	100.427	132.7786
92.500000	100.356	132.4108
93.800003	100.285	132.0666
95.000000	100.221	131.7474
96.199997	100.158	131.4258
97.500000	100.092	131.0697
98.800003	100.025	130.7017
100.000000	99.964	130.3891
101.500000	99.891	130.0108
103.000000	99.817	129.6478
104.400002	99.749	129.3394
106.000000	99.674	128.9885
107.500000	99.602	128.6522
109.000000	99.530	128.3260
110.599998	99.456	127.9872
112.000000	99.394	127.6931
113.800003	99.315	127.3309
115.000000	99.263	127.0989
117.199997	99.166	126.6977
118.000000	99.130	126.5594
120.599998	99.017	126.1476
122.000000	98.960	125.9267
124.099998	98.879	125.5981
125.000000	98.845	125.4567
126.500000	98.787	125.2305
128.000000	98.729	125.0300
131.500000	98.603	124.6073
132.000000	98.586	124.5431
134.000000	98.522	124.2994
136.000000	98.466	124.0671
138.000000	98.416	123.8045
140.000000	98.363	123.5268
143.000000	98.279	123.1302
145.000000	98.223	122.8664
147.500000	98.145	122.5763
150.000000	98.074	122.3678
152.500000	98.000	122.2003
155.000000	97.940	122.1122
157.500000	97.879	122.0215
160.000000	97.828	122.1558
162.500000	97.814	122.2977
165.000000	97.807	122.3839
167.500000	97.816	122.6211
170.000000	97.866	123.0180
172.500000	97.978	123.5834
175.000000	98.248	124.5246
177.500000	98.916	125.0169
180.000000	99.923	121.2606
182.500000	100.234	111.0553
185.000000	99.157	103.2929
187.500000	97.858	103.9869
190.000000	97.247	107.0945
192.500000	97.049	109.1014
195.000000	96.967	110.0066
197.500000	96.914	110.3492
200.000000	96.871	110.5215
203.000000	96.822	110.6675
206.000000	96.774	110.6938
209.000000	96.732	110.6133
212.000000	96.695	110.5134
214.000000	96.670	110.4508
218.000000	96.614	110.3019
220.000000	96.582	110.1875
224.000000	96.522	109.8592
227.000000	96.487	109.5958
230.000000	96.452	109.3451
233.000000	96.418	109.0469
236.000000	96.388	108.6665
240.000000	96.334	107.9979
243.000000	96.263	107.3550
247.000000	96.042	106.6501
250.000000	95.897	107.6075
254.000000	95.930	108.3029
258.000000	95.959	108.0392
262.000000	95.947	107.6915
265.000000	95.926	107.4401
269.000000	95.890	107.1900
272.000000	95.866	107.0189
276.000000	95.833	106.8042
280.000000	95.805	106.6293
285.000000	95.770	106.3846
290.000000	95.736	106.1812
295.000000	95.713	106.0393
300.000000	95.706	105.8765
304.000000	95.701	105.7206
307.000000	95.698	105.5941
311.000000	95.695	105.4234
315.000000	95.697	105.2550
320.000000	95.707	105.0786
325.000000	95.717	104.9317
330.000000	95.726	104.7115
335.000000	95.745	104.4375
340.000000	95.769	104.1768
345.000000	95.793	103.8968
350.000000	95.818	103.6010
355.000000	95.845	103.2892
360.000000	95.873	102.9511
365.000000	95.902	102.5948
370.000000	95.930	102.2281
375.000000	95.959	101.8426
382.000000	95.999	101.2775
387.000000	96.026	100.8626
395.000000	96.065	100.1841
400.000000	96.088	99.7554
406.000000	96.115	99.2514
412.000000	96.141	98.7461
418.000000	96.164	98.2415
425.000000	96.189	97.6652
431.000000	96.209	97.1789
437.000000	96.229	96.7086
444.000000	96.253	96.1833
450.000000	96.274	95.7464
455.000000	96.292	95.3866
462.000000	96.320	94.8899
468.000000	96.345	94.4650
475.000000	96.375	93.9622
482.000000	96.407	93.4504
487.000000	96.428	93.0786
494.000000	96.457	92.5509
500.000000	96.479	92.0975
508.000000	96.505	91.4983
515.000000	96.527	90.9742
522.000000	96.544	90.4437
530.000000	96.553	89.8403
538.000000	96.545	89.3238
545.000000	96.534	89.0612
552.000000	96.547	88.9803
560.000000	96.604	88.8445
570.000000	96.694	88.3453
580.000000	96.763	87.6631
590.000000	96.812	86.9838
600.000000	96.853	86.3402
608.000000	96.882	85.8501
615.000000	96.906	85.4384
622.000000	96.929	85.0438
630.000000	96.955	84.6097
640.000000	96.986	84.0874
650.000000	97.016	83.5877
660.000000	97.045	83.1095
670.000000	97.075	82.6494
680.000000	97.104	82.2029
690.000000	97.134	81.7730
700.000000	97.164	81.3626
710.000000	97.194	80.9706
720.000000	97.223	80.5941
730.000000	97.251	80.2356
740.000000	97.279	79.8973
750.000000	97.307	79.5762
762.000000	97.340	79.2101
775.000000	97.378	78.8441
788.000000	97.416	78.5121
800.000000	97.453	78.2316
812.000000	97.492	77.9724
825.000000	97.536	77.7161
838.000000	97.581	77.4852
850.000000	97.625	77.2894
862.000000	97.671	77.1104
875.000000	97.725	76.9345
885.000000	97.768	76.8098
900.000000	97.837	76.6365
912.000000	97.896	76.5082
925.000000	97.963	76.3753
938.000000	98.032	76.2459
950.000000	98.099	76.1292
962.000000	98.169	76.0122
975.000000	98.247	75.8821
988.000000	98.328	75.7452
1000.000000	98.405	75.6085
1015.000000	98.506	75.4227
1030.000000	98.608	75.2202
1044.000000	98.706	75.0134
1060.000000	98.819	74.7517
1075.000000	98.926	74.4825
1090.000000	99.033	74.1875
1106.000000	99.148	73.8450
1120.000000	99.248	73.5237
1138.000000	99.374	73.0791
1150.000000	99.457	72.7647
1172.000000	99.605	72.1580
1180.000000	99.657	71.9285
1206.000000	99.821	71.1545
1220.000000	99.906	70.7216
1241.000000	100.027	70.0610
1250.000000	100.076	69.7758
1265.000000	100.157	69.2970
1280.000000	100.234	68.8139
1315.000000	100.402	67.6984
1320.000000	100.424	67.5410
1340.000000	100.512	66.9152
1360.000000	100.595	66.2983
1380.000000	100.673	65.6959
1400.000000	100.747	65.1093
1430.000000	100.852	64.2637
1450.000000	100.919	63.7216
1475.000000	100.999	63.0711
1500.000000	101.077	62.4475
1525.000000	101.153	61.8492
1550.000000	101.226	61.2812
1575.000000	101.298	60.7353
1600.000000	101.369	60.2094
1625.000000	101.440	59.7035
1650.000000	101.512	59.2170
1675.000000	101.584	58.7478
1700.000000	101.656	58.2894
1725.000000	101.729	57.8412
1750.000000	101.801	57.4032
1775.000000	101.875	56.9720
1800.000000	101.950	56.5477
1825.000000	102.026	56.1269
1850.000000	102.104	55.7073
1875.000000	102.182	55.2884
1900.000000	102.262	54.8674
1925.000000	102.343	54.4422
1950.000000	102.425	54.0107
1975.000000	102.508	53.5695
2000.000000	102.592	53.1159
2030.000000	102.694	52.5546
2060.000000	102.797	51.9718
2090.000000	102.900	51.3652
2120.000000	103.003	50.7356
2140.000000	103.072	50.3007
2180.000000	103.210	49.3899
2200.000000	103.279	48.9123
2240.000000	103.417	47.9030
2270.000000	103.519	47.0938
2300.000000	103.618	46.2373
2330.000000	103.714	45.3270
2360.000000	103.802	44.3656
2400.000000	103.908	43.0424
2430.000000	103.981	42.0227
2470.000000	104.069	40.6121
2500.000000	104.129	39.5118
2540.000000	104.197	37.9873
2580.000000	104.249	36.4041
2620.000000	104.282	34.7725
2650.000000	104.294	33.5282
2690.000000	104.292	31.8615
2720.000000	104.277	30.6169
2760.000000	104.240	28.9728
2800.000000	104.186	27.3517
2850.000000	104.094	25.3600
2900.000000	103.973	23.4169
2950.000000	103.822	21.5687
3000.000000	103.643	19.8435
3040.000000	103.480	18.5730
3070.000000	103.348	17.6913
3110.000000	103.162	16.6168
3150.000000	102.966	15.6646
3200.000000	102.710	14.6488
3250.000000	102.446	13.8288
3300.000000	102.175	13.2114
3350.000000	101.899	12.8051
3400.000000	101.621	12.6274
3450.000000	101.348	12.6967
3500.000000	101.088	13.0106
3550.000000	100.848	13.5496
3600.000000	100.634	14.2993
3650.000000	100.456	15.2302
3700.000000	100.322	16.2616
3750.000000	100.232	17.2855
3820.000000	100.167	18.5511
3870.000000	100.148	19.2880
3950.000000	100.140	20.1880
4000.000000	100.142	20.6182
4060.000000	100.148	21.0472
4120.000000	100.161	21.3969
4180.000000	100.180	21.6595
4250.000000	100.207	21.8401
4310.000000	100.231	21.8900
4370.000000	100.253	21.8511
4440.000000	100.276	21.7034
4500.000000	100.291	21.5048
4550.000000	100.299	21.2972
4620.000000	100.305	20.9449
4680.000000	100.302	20.5917
4750.000000	100.290	20.1276
4820.000000	100.266	19.6241
4870.000000	100.242	19.2543
4940.000000	100.203	18.7327
5000.000000	100.167	18.2657
5080.000000	100.110	17.5500
5150.000000	100.039	16.8723
5220.000000	99.950	16.2404
5300.000000	99.837	15.5891
5380.000000	99.716	14.9845
5450.000000	99.604	14.4780
5520.000000	99.487	13.9850
5600.000000	99.345	13.4233
5700.000000	99.152	12.7144
5800.000000	98.935	11.9997
5900.000000	98.687	11.3334
6000.000000	98.407	10.7924
6080.000000	98.161	10.4938
6150.000000	97.934	10.3526
6220.000000	97.699	10.3342
6300.000000	97.423	10.4672
6400.000000	97.069	10.8718
6500.000000	96.704	11.6185
6600.000000	96.359	12.8990
6700.000000	96.096	14.4320
6800.000000	95.874	15.7093
6900.000000	95.644	16.9492
7000.000000	95.414	18.2748
7100.000000	95.170	19.6974
7200.000000	94.924	21.5725
7300.000000	94.739	23.7216
7400.000000	94.593	25.8650
7500.000000	94.470	28.0779
7620.000000	94.356	30.9548
7750.000000	94.302	34.4182
7880.000000	94.357	38.1716
8000.000000	94.530	41.7326
8120.000000	94.836	45.1839
8250.000000	95.323	48.5530
8380.000000	95.969	51.3024
8500.000000	96.700	53.0557
8620.000000	97.548	53.8327
8750.000000	98.575	53.3201
8850.000000	99.422	51.7762
9000.000000	100.714	47.2300
9120.000000	101.678	41.4843
9250.000000	102.527	33.2505
9380.000000	103.057	23.5109
