* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 18, 2025 3:27:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L Grey/Red (M)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	105.138	-163.5387
20.299999	105.143	-164.2619
20.600000	105.147	-165.0219
20.900000	105.142	-165.8050
21.200001	105.125	-166.5695
21.400000	105.108	-167.0430
21.799999	105.071	-167.8573
22.000000	105.057	-168.1971
22.400000	105.050	-168.7996
22.700001	105.066	-169.2645
23.000000	105.094	-169.8098
23.299999	105.125	-170.4630
23.600000	105.147	-171.2084
24.000000	105.153	-172.2566
24.299999	105.140	-173.0071
24.700001	105.111	-173.8858
25.000000	105.090	-174.4496
25.400000	105.073	-175.1251
25.799999	105.067	-175.7881
26.200001	105.066	-176.4844
26.500000	105.062	-177.0249
26.900000	105.049	-177.7402
27.200001	105.036	-178.2538
27.600000	105.016	-178.8967
28.000000	104.997	-179.4989
28.500000	104.975	179.7796
29.000000	104.957	179.0685
29.500000	104.938	178.3535
30.000000	104.918	177.6284
30.400000	104.900	177.0429
30.700001	104.885	176.6049
31.100000	104.862	176.0291
31.500000	104.837	175.4689
32.000000	104.805	174.7938
32.500000	104.774	174.1423
33.000000	104.745	173.5060
33.500000	104.718	172.8764
34.000000	104.692	172.2497
34.500000	104.665	171.6282
35.000000	104.637	171.0173
35.500000	104.608	170.4208
36.000000	104.578	169.8409
36.500000	104.547	169.2819
37.000000	104.515	168.7469
37.500000	104.484	168.2305
38.200001	104.443	167.5154
38.700001	104.413	167.0043
39.500000	104.361	166.2025
40.000000	104.329	165.7097
40.599998	104.289	165.1143
41.200001	104.245	164.5246
41.799999	104.197	163.9680
42.500000	104.146	163.3660
43.099998	104.106	162.8656
43.700001	104.070	162.3603
44.400002	104.030	161.7535
45.000000	103.993	161.2259
45.500000	103.959	160.8036
46.200001	103.914	160.2634
46.799999	103.882	159.8098
47.500000	103.846	159.2206
48.200001	103.796	158.6122
48.700001	103.753	158.2321
49.400002	103.698	157.7847
50.000000	103.660	157.4106
50.799999	103.612	156.8582
51.500000	103.565	156.3627
52.200001	103.515	155.8827
53.000000	103.458	155.3492
53.799999	103.400	154.8492
54.500000	103.355	154.4237
55.200001	103.312	153.9726
56.000000	103.256	153.4499
57.000000	103.182	152.8748
58.000000	103.116	152.3657
59.000000	103.056	151.8411
60.000000	102.994	151.2929
60.799999	102.941	150.8680
61.500000	102.895	150.5001
62.200001	102.849	150.1266
63.000000	102.793	149.7063
64.000000	102.724	149.1855
65.000000	102.648	148.7034
66.000000	102.580	148.3390
67.000000	102.536	147.9265
68.000000	102.484	147.3978
69.000000	102.418	146.9129
70.000000	102.352	146.4939
71.000000	102.289	146.1177
72.000000	102.232	145.7338
73.000000	102.172	145.3062
74.000000	102.105	144.9098
