* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 18, 2025 3:43:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R Grey/Red (M)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	104.878	-166.6818
20.299999	104.873	-167.4555
20.600000	104.863	-168.1680
20.900000	104.854	-168.8020
21.200001	104.854	-169.3734
21.400000	104.861	-169.7427
21.799999	104.892	-170.5304
22.000000	104.911	-170.9765
22.400000	104.944	-171.9924
22.700001	104.952	-172.8283
23.000000	104.943	-173.6673
23.299999	104.918	-174.4526
23.600000	104.883	-175.1473
24.000000	104.837	-175.9286
24.299999	104.811	-176.4405
24.700001	104.787	-177.0966
25.000000	104.775	-177.6033
25.400000	104.760	-178.3105
25.799999	104.742	-179.0339
26.200001	104.720	-179.7493
26.500000	104.704	179.7232
26.900000	104.684	179.0252
27.200001	104.669	178.5014
27.600000	104.647	177.8052
28.000000	104.624	177.1213
28.500000	104.595	176.2939
29.000000	104.568	175.4891
29.500000	104.543	174.6938
30.000000	104.515	173.9139
30.400000	104.491	173.3134
30.700001	104.473	172.8803
31.100000	104.450	172.3226
31.500000	104.428	171.7791
32.000000	104.403	171.1064
32.500000	104.376	170.4373
33.000000	104.347	169.7774
33.500000	104.316	169.1332
34.000000	104.283	168.5055
34.500000	104.251	167.8890
35.000000	104.218	167.2763
35.500000	104.185	166.6629
36.000000	104.149	166.0533
36.500000	104.110	165.4600
37.000000	104.072	164.8943
37.500000	104.035	164.3544
38.200001	103.989	163.6111
38.700001	103.958	163.0715
39.500000	103.906	162.2071
40.000000	103.870	161.6827
40.599998	103.827	161.0711
41.200001	103.782	160.4788
41.799999	103.736	159.9178
42.500000	103.686	159.2935
43.099998	103.646	158.7424
43.700001	103.603	158.1666
44.400002	103.546	157.5187
45.000000	103.497	157.0075
45.500000	103.461	156.5876
46.200001	103.410	155.9801
46.799999	103.364	155.4697
47.500000	103.311	154.9200
48.200001	103.265	154.3820
48.700001	103.234	153.9825
49.400002	103.187	153.4167
50.000000	103.143	152.9482
50.799999	103.085	152.3517
51.500000	103.032	151.8528
52.200001	102.979	151.3792
53.000000	102.921	150.8610
53.799999	102.864	150.3512
54.500000	102.815	149.9085
55.200001	102.768	149.4705
56.000000	102.715	148.9660
57.000000	102.648	148.3195
58.000000	102.577	147.6935
59.000000	102.506	147.0907
60.000000	102.432	146.5181
60.799999	102.375	146.1078
61.500000	102.331	145.7483
62.200001	102.288	145.3595
63.000000	102.234	144.8984
64.000000	102.160	144.3640
65.000000	102.092	143.8868
66.000000	102.033	143.3553
67.000000	101.961	142.7839
68.000000	101.884	142.3085
69.000000	101.816	141.8628
70.000000	101.746	141.4393
71.000000	101.685	141.0435
72.000000	101.625	140.6040
73.000000	101.559	140.1914
74.000000	101.497	139.8152
75.000000	101.440	139.4204
76.199997	101.371	138.9196
77.500000	101.290	138.3729
78.800003	101.210	137.8692
80.000000	101.136	137.4099
81.199997	101.063	137.0016
82.500000	100.991	136.5776
83.800003	100.920	136.1399
85.000000	100.852	135.7457
86.199997	100.783	135.3742
87.500000	100.710	134.9799
88.500000	100.654	134.6863
90.000000	100.574	134.2448
91.199997	100.512	133.8775
92.500000	100.444	133.4803
93.800003	100.376	133.1108
