* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 18, 2025 3:38:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L White (S)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	105.282	-164.8195
20.299999	105.287	-165.5703
20.600000	105.292	-166.3256
20.900000	105.297	-167.0959
21.200001	105.298	-167.8828
21.400000	105.295	-168.4099
21.799999	105.277	-169.4325
22.000000	105.262	-169.9083
22.400000	105.230	-170.7540
22.700001	105.210	-171.2960
23.000000	105.199	-171.7867
23.299999	105.200	-172.2670
23.600000	105.208	-172.7740
24.000000	105.222	-173.5208
24.299999	105.228	-174.1226
24.700001	105.225	-174.9322
25.000000	105.216	-175.5129
25.400000	105.200	-176.2314
25.799999	105.187	-176.9003
26.200001	105.177	-177.5528
26.500000	105.171	-178.0465
26.900000	105.162	-178.7147
27.200001	105.153	-179.2189
27.600000	105.137	-179.8864
28.000000	105.118	179.4588
28.500000	105.092	178.6658
29.000000	105.063	177.9069
29.500000	105.035	177.1783
30.000000	105.010	176.4635
30.400000	104.990	175.8913
30.700001	104.975	175.4621
31.100000	104.953	174.8954
31.500000	104.930	174.3415
32.000000	104.902	173.6680
32.500000	104.875	173.0062
33.000000	104.847	172.3505
33.500000	104.817	171.7083
34.000000	104.785	171.0902
34.500000	104.754	170.4968
35.000000	104.723	169.9184
35.500000	104.692	169.3479
36.000000	104.660	168.7872
36.500000	104.627	168.2427
37.000000	104.595	167.7144
37.500000	104.564	167.1917
38.200001	104.522	166.4472
38.700001	104.488	165.9113
39.500000	104.428	165.0958
40.000000	104.391	164.6236
40.599998	104.351	164.0713
41.200001	104.312	163.5107
41.799999	104.272	162.9481
42.500000	104.224	162.3124
43.099998	104.183	161.7817
43.700001	104.143	161.2529
44.400002	104.095	160.6455
45.000000	104.052	160.1455
45.500000	104.018	159.7429
46.200001	103.971	159.1909
46.799999	103.933	158.7199
47.500000	103.889	158.1613
48.200001	103.841	157.5969
48.700001	103.804	157.2105
49.400002	103.749	156.7190
50.000000	103.707	156.3331
50.799999	103.657	155.8104
51.500000	103.611	155.3262
52.200001	103.561	154.8482
53.000000	103.503	154.3409
53.799999	103.448	153.8532
54.500000	103.403	153.4138
55.200001	103.356	152.9617
56.000000	103.300	152.4453
57.000000	103.225	151.8254
58.000000	103.147	151.2805
59.000000	103.080	150.7955
60.000000	103.020	150.2836
60.799999	102.969	149.8575
61.500000	102.923	149.4918
62.200001	102.876	149.1359
63.000000	102.821	148.7487
64.000000	102.754	148.2864
65.000000	102.689	147.8104
66.000000	102.620	147.3548
67.000000	102.557	146.9089
68.000000	102.493	146.4162
69.000000	102.422	145.9400
70.000000	102.351	145.5087
71.000000	102.283	145.1028
72.000000	102.218	144.7253
73.000000	102.159	144.3554
74.000000	102.101	143.9920
75.000000	102.045	143.6353
76.199997	101.977	143.2211
77.500000	101.904	142.7708
78.800003	101.825	142.3197
80.000000	101.752	141.9332
81.199997	101.679	141.5487
82.500000	101.602	141.1598
83.800003	101.529	140.7843
85.000000	101.462	140.4317
86.199997	101.394	140.0945
87.500000	101.321	139.7536
88.500000	101.266	139.4962
90.000000	101.185	139.1075
91.199997	101.122	138.7996
92.500000	101.054	138.4733
93.800003	100.988	138.1627
95.000000	100.928	137.8728
96.199997	100.865	137.5905
97.500000	100.798	137.3099
98.800003	100.732	137.0386
100.000000	100.673	136.7885
101.500000	100.601	136.4720
103.000000	100.529	136.1653
104.400002	100.464	135.8876
106.000000	100.390	135.5768
107.500000	100.318	135.3138
109.000000	100.249	135.0679
110.599998	100.178	134.8029
112.000000	100.115	134.5660
113.800003	100.035	134.2672
115.000000	99.983	134.0738
117.199997	99.890	133.7240
118.000000	99.856	133.5980
120.599998	99.746	133.2269
122.000000	99.691	133.0549
124.099998	99.610	132.7751
125.000000	99.574	132.6552
126.500000	99.513	132.4726
128.000000	99.452	132.3054
131.500000	99.315	131.9600
132.000000	99.295	131.9116
134.000000	99.218	131.7225
136.000000	99.138	131.5536
138.000000	99.056	131.4325
140.000000	98.974	131.3705
143.000000	98.859	131.4269
145.000000	98.798	131.5933
147.500000	98.760	131.9032
150.000000	98.770	132.0736
152.500000	98.794	131.8742
155.000000	98.791	131.4375
157.500000	98.758	130.9746
160.000000	98.705	130.6071
162.500000	98.647	130.3503
165.000000	98.589	130.1915
167.500000	98.536	130.1412
170.000000	98.492	130.2280
172.500000	98.463	130.5197
175.000000	98.481	131.1564
177.500000	98.646	132.2563
180.000000	99.153	132.9411
182.500000	99.865	129.7488
185.000000	99.882	122.1771
187.500000	99.022	118.2161
190.000000	98.280	119.1899
192.500000	97.951	120.8420
195.000000	97.819	121.9051
197.500000	97.747	122.5138
200.000000	97.693	122.8712
203.000000	97.637	123.1150
206.000000	97.586	123.2426
209.000000	97.539	123.2888
212.000000	97.495	123.2880
214.000000	97.466	123.2708
218.000000	97.411	123.1979
220.000000	97.385	123.1456
224.000000	97.336	123.0182
227.000000	97.302	122.8966
230.000000	97.269	122.7459
233.000000	97.236	122.5468
236.000000	97.198	122.2379
240.000000	97.085	121.5889
243.000000	96.921	121.6370
247.000000	96.847	122.9617
250.000000	96.897	123.3689
254.000000	96.991	123.3766
258.000000	97.025	122.6635
262.000000	96.984	122.1855
265.000000	96.951	121.9818
269.000000	96.914	121.7669
272.000000	96.889	121.6233
276.000000	96.859	121.4433
280.000000	96.830	121.2684
285.000000	96.794	121.0533
290.000000	96.760	120.8405
295.000000	96.727	120.6297
300.000000	96.692	120.4375
304.000000	96.665	120.2897
307.000000	96.645	120.1863
311.000000	96.618	120.0601
315.000000	96.592	119.9444
320.000000	96.559	119.8235
325.000000	96.527	119.7294
330.000000	96.498	119.6656
335.000000	96.472	119.6341
340.000000	96.450	119.6353
345.000000	96.435	119.6596
350.000000	96.427	119.6902
355.000000	96.426	119.7136
360.000000	96.431	119.7229
365.000000	96.442	119.7094
370.000000	96.455	119.6710
375.000000	96.470	119.6055
382.000000	96.491	119.4766
387.000000	96.505	119.3628
395.000000	96.524	119.1646
400.000000	96.536	119.0377
406.000000	96.549	118.8835
412.000000	96.561	118.7317
418.000000	96.571	118.5876
425.000000	96.583	118.4263
431.000000	96.594	118.2954
437.000000	96.605	118.1740
444.000000	96.618	118.0403
450.000000	96.631	117.9385
455.000000	96.641	117.8587
462.000000	96.658	117.7463
468.000000	96.672	117.6553
475.000000	96.691	117.5544
482.000000	96.710	117.4550
487.000000	96.724	117.3878
494.000000	96.744	117.3052
500.000000	96.762	117.2467
508.000000	96.791	117.1846
515.000000	96.819	117.1220
522.000000	96.849	117.0446
530.000000	96.887	116.9615
538.000000	96.936	116.8595
545.000000	96.988	116.6871
552.000000	97.038	116.3325
560.000000	97.057	115.7111
570.000000	97.003	115.1525
580.000000	96.944	115.1627
590.000000	96.928	115.3477
600.000000	96.937	115.4907
608.000000	96.949	115.5669
615.000000	96.961	115.6205
622.000000	96.973	115.6686
630.000000	96.986	115.7213
640.000000	97.001	115.7891
650.000000	97.015	115.8658
660.000000	97.028	115.9548
670.000000	97.040	116.0610
680.000000	97.051	116.1839
690.000000	97.061	116.3283
700.000000	97.071	116.4934
710.000000	97.079	116.6780
720.000000	97.085	116.8875
730.000000	97.092	117.1272
740.000000	97.097	117.4027
750.000000	97.104	117.7208
762.000000	97.112	118.1578
775.000000	97.126	118.6983
788.000000	97.148	119.2963
800.000000	97.178	119.8893
812.000000	97.217	120.5046
825.000000	97.269	121.1647
838.000000	97.329	121.8072
850.000000	97.390	122.3827
862.000000	97.453	122.9345
875.000000	97.523	123.5133
885.000000	97.578	123.9532
900.000000	97.663	124.6075
