* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 18, 2025 3:17:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R White (S)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	104.747	-166.0106
20.299999	104.745	-166.7450
20.600000	104.739	-167.4805
20.900000	104.726	-168.2013
21.200001	104.706	-168.8738
21.400000	104.691	-169.2794
21.799999	104.668	-169.9833
22.000000	104.664	-170.2997
22.400000	104.679	-170.9495
22.700001	104.703	-171.5249
23.000000	104.728	-172.2097
23.299999	104.743	-172.9847
23.600000	104.740	-173.7939
24.000000	104.713	-174.8112
24.299999	104.685	-175.4749
24.700001	104.655	-176.2362
25.000000	104.644	-176.7677
25.400000	104.640	-177.5085
25.799999	104.637	-178.3170
26.200001	104.623	-179.1462
26.500000	104.604	-179.7357
26.900000	104.579	179.5524
27.200001	104.563	179.0622
27.600000	104.551	178.4213
28.000000	104.542	177.7552
28.500000	104.523	176.8933
29.000000	104.493	176.0657
29.500000	104.461	175.3138
30.000000	104.432	174.6082
30.400000	104.412	174.0464
30.700001	104.396	173.6217
31.100000	104.373	173.0572
31.500000	104.349	172.5025
32.000000	104.318	171.8225
32.500000	104.288	171.1461
33.000000	104.256	170.4706
33.500000	104.222	169.8077
34.000000	104.188	169.1663
34.500000	104.154	168.5415
35.000000	104.122	167.9232
35.500000	104.089	167.3113
36.000000	104.055	166.7160
36.500000	104.021	166.1443
37.000000	103.989	165.5893
37.500000	103.958	165.0355
38.200001	103.913	164.2558
38.700001	103.877	163.7148
39.500000	103.819	162.9016
40.000000	103.785	162.4103
40.599998	103.745	161.8227
41.200001	103.704	161.2458
41.799999	103.664	160.6819
42.500000	103.618	160.0211
43.099998	103.576	159.4604
43.700001	103.533	158.9260
44.400002	103.487	158.3100
45.000000	103.446	157.7527
45.500000	103.405	157.2885
46.200001	103.341	156.7125
46.799999	103.291	156.2877
47.500000	103.245	155.7787
48.200001	103.199	155.2086
48.700001	103.161	154.7933
49.400002	103.106	154.2423
50.000000	103.061	153.7983
50.799999	103.006	153.2192
51.500000	102.961	152.7090
52.200001	102.917	152.1961
53.000000	102.866	151.6194
53.799999	102.812	151.0646
54.500000	102.764	150.6041
55.200001	102.716	150.1606
56.000000	102.660	149.6476
57.000000	102.582	149.0159
58.000000	102.502	148.4722
59.000000	102.437	147.9205
60.000000	102.370	147.2941
60.799999	102.312	146.8274
61.500000	102.265	146.4539
62.200001	102.223	146.0728
63.000000	102.172	145.6326
64.000000	102.105	145.1588
65.000000	102.051	144.7254
66.000000	101.998	144.1906
67.000000	101.925	143.6371
68.000000	101.848	143.1844
69.000000	101.778	142.7372
70.000000	101.707	142.2878
71.000000	101.641	141.8700
72.000000	101.581	141.4278
73.000000	101.517	140.9908
74.000000	101.454	140.5982
75.000000	101.395	140.2224
76.199997	101.323	139.7773
77.500000	101.246	139.3069
78.800003	101.169	138.8094
80.000000	101.096	138.3697
81.199997	101.026	137.9515
82.500000	100.956	137.4894
83.800003	100.884	137.0234
85.000000	100.817	136.6135
86.199997	100.749	136.2283
87.500000	100.677	135.8347
88.500000	100.624	135.5417
90.000000	100.544	135.0972
91.199997	100.480	134.7540
92.500000	100.412	134.3945
93.800003	100.344	134.0422
95.000000	100.283	133.7133
96.199997	100.221	133.3937
97.500000	100.156	133.0671
98.800003	100.095	132.7335
100.000000	100.038	132.4233
101.500000	99.968	132.0505
103.000000	99.899	131.6909
104.400002	99.835	131.3638
106.000000	99.763	130.9981
107.500000	99.696	130.6686
109.000000	99.629	130.3506
110.599998	99.559	130.0176
112.000000	99.498	129.7357
113.800003	99.423	129.3836
115.000000	99.374	129.1470
117.199997	99.286	128.7114
118.000000	99.254	128.5593
120.599998	99.153	128.0903
122.000000	99.100	127.8466
124.099998	99.023	127.4858
125.000000	98.990	127.3322
126.500000	98.935	127.0852
128.000000	98.880	126.8503
131.500000	98.756	126.3059
132.000000	98.738	126.2267
134.000000	98.669	125.9142
136.000000	98.603	125.6201
138.000000	98.540	125.3456
140.000000	98.478	125.0806
143.000000	98.384	124.6994
145.000000	98.323	124.4464
147.500000	98.248	124.1314
150.000000	98.173	123.8436
152.500000	98.099	123.6022
155.000000	98.029	123.3934
157.500000	97.962	123.2009
160.000000	97.898	123.0330
162.500000	97.833	122.8881
165.000000	97.766	122.7989
167.500000	97.696	122.7810
170.000000	97.618	122.9062
172.500000	97.528	123.3270
175.000000	97.458	124.5579
177.500000	97.636	127.3782
180.000000	98.486	129.9304
182.500000	99.497	125.6599
185.000000	99.465	117.3059
187.500000	98.746	113.2396
190.000000	98.152	112.6640
192.500000	97.804	112.9658
195.000000	97.594	113.3216
