* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 14, 2025 12:23:59 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L Letshouer C12 2023 AET07
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	95.541	-175.6997
20.299999	95.535	-176.0514
20.600000	95.534	-176.4193
20.900000	95.534	-176.8274
21.200001	95.527	-177.2704
21.400000	95.517	-177.5687
21.799999	95.485	-178.1145
22.000000	95.466	-178.3410
22.400000	95.432	-178.6876
22.700001	95.418	-178.8831
23.000000	95.417	-179.0695
23.299999	95.425	-179.2862
23.600000	95.439	-179.5543
24.000000	95.458	-179.9897
24.299999	95.468	179.6427
24.700001	95.476	179.1224
25.000000	95.477	178.7165
25.400000	95.472	178.1602
25.799999	95.455	177.6085
26.200001	95.425	177.1053
26.500000	95.397	176.7854
26.900000	95.361	176.4418
27.200001	95.338	176.2281
27.600000	95.315	175.9583
28.000000	95.294	175.6755
28.500000	95.263	175.3246
29.000000	95.228	175.0502
29.500000	95.204	174.8648
30.000000	95.202	174.6659
30.400000	95.207	174.4236
30.700001	95.209	174.1897
31.100000	95.203	173.8464
31.500000	95.189	173.5201
32.000000	95.169	173.1698
32.500000	95.157	172.8359
33.000000	95.147	172.4576
33.500000	95.128	172.0559
34.000000	95.100	171.7013
34.500000	95.074	171.4150
35.000000	95.054	171.1555
35.500000	95.035	170.8994
36.000000	95.016	170.6694
36.500000	95.006	170.4564
37.000000	95.008	170.1750
37.500000	95.005	169.7604
38.200001	94.958	169.1201
38.700001	94.906	168.8189
39.500000	94.855	168.5406
40.000000	94.842	168.2898
40.599998	94.814	167.9209
41.200001	94.782	167.6313
41.799999	94.770	167.3580
42.500000	94.758	166.8863
43.099998	94.722	166.5227
43.700001	94.691	166.3484
44.400002	94.696	166.1261
45.000000	94.694	165.7384
45.500000	94.666	165.4124
46.200001	94.616	165.1406
46.799999	94.585	164.9386
47.500000	94.528	164.6472
48.200001	94.449	164.5668
48.700001	94.415	164.6305
49.400002	94.402	164.5513
50.000000	94.379	164.2313
50.799999	94.302	163.8328
51.500000	94.239	163.6859
52.200001	94.201	163.5380
53.000000	94.163	163.2766
53.799999	94.126	163.0441
54.500000	94.108	162.8534
55.200001	94.099	162.5798
56.000000	94.076	162.1652
57.000000	94.017	161.7179
58.000000	93.959	161.5091
59.000000	93.930	161.3119
60.000000	93.899	160.9329
60.799999	93.853	160.6561
61.500000	93.813	160.5094
62.200001	93.778	160.3820
63.000000	93.736	160.2286
64.000000	93.681	160.1170
65.000000	93.638	159.9904
66.000000	93.585	159.7467
67.000000	93.519	159.5605
68.000000	93.473	159.3883
69.000000	93.432	159.0242
70.000000	93.369	158.6950
71.000000	93.319	158.5336
72.000000	93.276	158.3684
73.000000	93.226	158.3852
74.000000	93.208	158.5076
75.000000	93.193	158.4366
76.199997	93.156	158.3343
77.500000	93.123	157.9169
78.800003	93.023	157.3932
80.000000	92.954	157.2513
81.199997	92.925	156.9766
82.500000	92.880	156.6983
83.800003	92.837	156.6119
85.000000	92.793	156.5889
86.199997	92.738	156.6066
87.500000	92.684	156.6100
88.500000	92.646	156.4792
90.000000	92.586	156.2137
91.199997	92.551	155.9648
92.500000	92.502	155.6727
93.800003	92.433	155.6066
95.000000	92.378	155.7214
96.199997	92.331	155.7905
97.500000	92.279	155.7117
98.800003	92.218	155.5508
100.000000	92.178	155.3675
101.500000	92.113	155.0450
103.000000	92.057	155.1050
104.400002	92.027	155.1566
106.000000	91.978	155.0959
107.500000	91.895	155.0438
109.000000	91.852	155.2761
110.599998	91.850	154.8934
112.000000	91.792	154.5714
113.800003	91.741	154.6489
115.000000	91.726	154.6471
117.199997	91.674	154.6357
118.000000	91.655	154.6221
120.599998	91.588	154.4608
122.000000	91.536	154.3087
124.099998	91.458	154.3580
125.000000	91.441	154.3757
126.500000	91.414	154.2670
