* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 14, 2025 12:21:34 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R Letshouer C12 2023 AET07
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	95.533	4.3260
20.299999	95.549	3.9342
20.600000	95.555	3.4835
20.900000	95.547	3.0231
21.200001	95.526	2.6059
21.400000	95.510	2.3678
21.799999	95.480	1.9812
22.000000	95.471	1.8114
22.400000	95.465	1.4460
22.700001	95.464	1.1080
23.000000	95.458	0.7135
23.299999	95.442	0.2972
23.600000	95.414	-0.0904
24.000000	95.369	-0.4914
24.299999	95.339	-0.6933
24.700001	95.318	-0.8821
25.000000	95.318	-1.0227
25.400000	95.332	-1.2809
25.799999	95.349	-1.6406
26.200001	95.359	-2.0648
26.500000	95.360	-2.3887
26.900000	95.356	-2.7920
27.200001	95.351	-3.0658
27.600000	95.347	-3.4030
28.000000	95.346	-3.7302
28.500000	95.343	-4.1480
29.000000	95.335	-4.5721
29.500000	95.321	-4.9846
30.000000	95.303	-5.3878
30.400000	95.285	-5.7160
30.700001	95.268	-5.9642
31.100000	95.237	-6.2761
31.500000	95.201	-6.5306
32.000000	95.162	-6.7446
32.500000	95.145	-6.9244
33.000000	95.150	-7.2273
33.500000	95.151	-7.7147
34.000000	95.126	-8.2604
34.500000	95.084	-8.6798
35.000000	95.056	-8.9425
35.500000	95.059	-9.2094
36.000000	95.074	-9.6355
36.500000	95.073	-10.1885
37.000000	95.046	-10.7071
37.500000	95.011	-11.0923
38.200001	94.974	-11.5148
38.700001	94.945	-11.8253
39.500000	94.874	-12.1905
40.000000	94.833	-12.2565
40.599998	94.807	-12.2882
41.200001	94.795	-12.4115
41.799999	94.783	-12.6232
42.500000	94.774	-12.9565
43.099998	94.765	-13.3931
43.700001	94.734	-13.9389
44.400002	94.666	-14.4833
45.000000	94.607	-14.7897
45.500000	94.566	-14.9918
46.200001	94.509	-15.2083
46.799999	94.468	-15.2517
47.500000	94.455	-15.2355
48.200001	94.464	-15.4083
48.700001	94.456	-15.6336
49.400002	94.422	-15.8960
50.000000	94.391	-16.0192
50.799999	94.361	-16.1791
51.500000	94.336	-16.3812
52.200001	94.309	-16.6478
53.000000	94.266	-17.0133
53.799999	94.211	-17.3193
54.500000	94.173	-17.5179
55.200001	94.148	-17.7338
56.000000	94.123	-18.0132
57.000000	94.099	-18.4207
58.000000	94.055	-18.8863
59.000000	93.993	-19.1518
60.000000	93.949	-19.3564
60.799999	93.905	-19.5892
61.500000	93.857	-19.7424
62.200001	93.814	-19.8702
63.000000	93.765	-20.0578
64.000000	93.702	-20.2351
65.000000	93.665	-20.4953
66.000000	93.607	-20.9263
67.000000	93.542	-21.1143
68.000000	93.510	-21.3428
69.000000	93.451	-21.5876
70.000000	93.419	-21.4893
71.000000	93.437	-21.7656
72.000000	93.368	-22.2856
73.000000	93.289	-22.0421
74.000000	93.339	-21.9489
75.000000	93.353	-22.7966
76.199997	93.202	-23.5062
77.500000	93.090	-22.9897
78.800003	93.128	-22.8684
80.000000	93.124	-23.4574
81.199997	93.027	-24.1081
82.500000	92.889	-24.3355
83.800003	92.783	-24.4557
85.000000	92.724	-24.4615
86.199997	92.686	-24.8068
87.500000	92.563	-24.7062
88.500000	92.537	-23.9373
90.000000	92.591	-23.7208
91.199997	92.496	-24.0573
92.500000	92.316	-23.8629
93.800003	92.177	-23.5045
95.000000	92.106	-23.4121
96.199997	92.085	-23.7325
97.500000	92.073	-24.4504
98.800003	92.052	-25.0884
100.000000	92.052	-25.3660
101.500000	92.096	-25.6527
103.000000	92.098	-25.9999
104.400002	92.079	-25.9901
106.000000	92.042	-26.0154
107.500000	91.972	-25.9628
109.000000	91.888	-25.8824
110.599998	91.816	-25.7712
112.000000	91.785	-26.0400
113.800003	91.693	-26.6162
115.000000	91.624	-26.6529
117.199997	91.561	-26.3325
118.000000	91.551	-26.2165
120.599998	91.522	-26.2694
122.000000	91.467	-26.4908
124.099998	91.375	-26.5092
125.000000	91.348	-26.4710
126.500000	91.308	-26.4652
128.000000	91.260	-26.4989
131.500000	91.164	-26.4675
132.000000	91.154	-26.4875
134.000000	91.108	-26.5915
136.000000	91.042	-26.6690
138.000000	90.974	-26.6055
140.000000	90.919	-26.5516
143.000000	90.851	-26.5564
145.000000	90.802	-26.5962
147.500000	90.728	-26.5612
150.000000	90.674	-26.5263
152.500000	90.620	-26.4894
155.000000	90.565	-26.3109
157.500000	90.507	-26.1913
160.000000	90.442	-26.0970
162.500000	90.388	-25.9944
165.000000	90.354	-25.9010
167.500000	90.338	-25.9487
170.000000	90.337	-25.9530
172.500000	90.339	-25.5926
175.000000	90.282	-24.9401
177.500000	90.148	-24.4673
180.000000	90.008	-24.5204
182.500000	89.943	-24.8857
185.000000	89.969	-24.8868
187.500000	89.982	-24.8588
190.000000	89.950	-24.5178
192.500000	89.960	-24.4951
195.000000	89.948	-24.8415
197.500000	89.895	-24.8316
200.000000	89.847	-24.5602
203.000000	89.816	-24.5104
206.000000	89.798	-24.7412
209.000000	89.777	-24.9115
212.000000	89.732	-24.9236
214.000000	89.694	-24.8678
218.000000	89.622	-24.7206
220.000000	89.587	-24.6334
224.000000	89.516	-24.5314
227.000000	89.471	-24.5000
230.000000	89.435	-24.4689
233.000000	89.401	-24.3861
236.000000	89.370	-24.3446
240.000000	89.313	-24.3535
243.000000	89.262	-24.1155
247.000000	89.197	-23.7502
250.000000	89.138	-23.7653
