* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 14, 2025 1:30:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L Rhapsodio Master AET07
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	99.138	-153.9875
20.299999	99.125	-154.4621
20.600000	99.139	-154.6947
20.900000	99.190	-154.8744
21.200001	99.269	-155.1608
21.400000	99.325	-155.4561
21.799999	99.410	-156.3017
22.000000	99.429	-156.7864
22.400000	99.414	-157.6640
22.700001	99.377	-158.1185
23.000000	99.342	-158.3860
23.299999	99.327	-158.5568
23.600000	99.333	-158.7583
24.000000	99.350	-159.2205
24.299999	99.349	-159.7012
24.700001	99.316	-160.3656
25.000000	99.277	-160.7778
25.400000	99.237	-161.1937
25.799999	99.227	-161.6081
26.200001	99.236	-162.1982
26.500000	99.233	-162.7587
26.900000	99.202	-163.5108
27.200001	99.167	-163.9546
27.600000	99.136	-164.3275
28.000000	99.156	-164.6081
28.500000	99.242	-165.2344
29.000000	99.315	-166.3037
29.500000	99.324	-167.4283
30.000000	99.309	-168.2034
30.400000	99.327	-168.6323
30.700001	99.365	-168.9998
31.100000	99.424	-169.6918
31.500000	99.453	-170.5820
32.000000	99.421	-171.6423
32.500000	99.354	-172.3057
33.000000	99.319	-172.6348
33.500000	99.327	-172.9978
34.000000	99.333	-173.5601
34.500000	99.307	-174.1347
35.000000	99.272	-174.5117
35.500000	99.268	-174.7688
36.000000	99.294	-175.1552
36.500000	99.314	-175.7560
37.000000	99.301	-176.4010
37.500000	99.271	-176.8821
38.200001	99.262	-177.2955
38.700001	99.288	-177.6395
39.500000	99.334	-178.5049
40.000000	99.342	-179.1542
40.599998	99.328	-179.9183
41.200001	99.291	179.4269
41.799999	99.247	178.9724
42.500000	99.226	178.6175
43.099998	99.241	178.1793
43.700001	99.243	177.5059
44.400002	99.196	176.7384
45.000000	99.151	176.3265
45.500000	99.141	176.0352
46.200001	99.142	175.3998
46.799999	99.110	174.7237
47.500000	99.039	174.1735
48.200001	98.992	173.9079
48.700001	98.981	173.7056
49.400002	98.967	173.3106
50.000000	98.946	172.9709
50.799999	98.922	172.5735
51.500000	98.905	172.1785
52.200001	98.880	171.7704
53.000000	98.859	171.3431
53.799999	98.852	170.7884
54.500000	98.832	170.1646
