* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 14, 2025 1:27:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R Rhapsodio Master AET07
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	96.721	22.1700
20.299999	96.734	21.6319
20.600000	96.758	21.0505
20.900000	96.779	20.4022
21.200001	96.786	19.7285
21.400000	96.782	19.3043
21.799999	96.762	18.5992
22.000000	96.754	18.3276
22.400000	96.756	17.8799
22.700001	96.775	17.5353
23.000000	96.800	17.1245
23.299999	96.818	16.6564
23.600000	96.822	16.1892
24.000000	96.816	15.6784
24.299999	96.819	15.3982
24.700001	96.850	15.0526
25.000000	96.891	14.6951
25.400000	96.946	13.9842
25.799999	96.965	13.0806
26.200001	96.932	12.2246
26.500000	96.886	11.7588
26.900000	96.832	11.4287
27.200001	96.819	11.3198
27.600000	96.844	11.1369
28.000000	96.896	10.7097
28.500000	96.939	9.8094
29.000000	96.919	8.8209
29.500000	96.861	8.0966
30.000000	96.821	7.6537
30.400000	96.819	7.3176
30.700001	96.827	6.9827
31.100000	96.834	6.4033
31.500000	96.819	5.7416
32.000000	96.769	4.9733
32.500000	96.705	4.3887
33.000000	96.651	3.9720
33.500000	96.613	3.6498
34.000000	96.593	3.3669
34.500000	96.595	3.0585
35.000000	96.612	2.6403
35.500000	96.625	2.0871
36.000000	96.617	1.4825
36.500000	96.592	0.9500
37.000000	96.562	0.5435
37.500000	96.540	0.2264
38.200001	96.527	-0.1949
38.700001	96.523	-0.5568
39.500000	96.498	-1.2935
40.000000	96.454	-1.7431
40.599998	96.386	-2.0864
41.200001	96.343	-2.2566
41.799999	96.335	-2.5256
42.500000	96.319	-3.1079
43.099998	96.278	-3.6127
43.700001	96.238	-3.9787
44.400002	96.216	-4.3584
45.000000	96.204	-4.7270
45.500000	96.194	-5.0267
46.200001	96.188	-5.4234
46.799999	96.188	-5.8158
47.500000	96.168	-6.3320
48.200001	96.120	-6.7445
48.700001	96.080	-6.8984
49.400002	96.042	-6.9794
50.000000	96.033	-7.1111
50.799999	96.013	-7.5711
51.500000	95.953	-8.0194
52.200001	95.882	-8.2314
53.000000	95.844	-8.3678
53.799999	95.834	-8.7373
54.500000	95.811	-9.1871
55.200001	95.781	-9.6131
56.000000	95.745	-10.0728
57.000000	95.686	-10.5878
58.000000	95.620	-10.8750
59.000000	95.584	-11.0418
60.000000	95.560	-11.3833
60.799999	95.524	-11.7035
61.500000	95.492	-11.9345
62.200001	95.464	-12.1609
63.000000	95.433	-12.4216
64.000000	95.401	-12.6770
65.000000	95.381	-12.9421
66.000000	95.352	-13.1902
67.000000	95.326	-13.3087
68.000000	95.315	-13.4827
69.000000	95.289	-13.8536
70.000000	95.223	-14.2612
71.000000	95.141	-14.4935
72.000000	95.081	-14.6295
73.000000	95.045	-14.8845
74.000000	95.007	-15.2732
75.000000	94.958	-15.6251
76.199997	94.905	-15.9156
77.500000	94.851	-16.1539
78.800003	94.805	-16.2373
80.000000	94.785	-16.3914
81.199997	94.749	-16.7249
82.500000	94.696	-17.0141
83.800003	94.648	-17.4018
85.000000	94.586	-17.6680
86.199997	94.549	-17.7898
87.500000	94.528	-18.0560
88.500000	94.495	-18.3516
90.000000	94.420	-18.5186
91.199997	94.378	-18.5545
92.500000	94.340	-18.7160
93.800003	94.280	-19.0460
95.000000	94.217	-19.1826
96.199997	94.191	-19.3692
97.500000	94.163	-19.7533
98.800003	94.131	-19.9334
100.000000	94.138	-20.0214
101.500000	94.116	-20.4278
103.000000	94.024	-20.4601
104.400002	93.952	-20.2805
106.000000	93.887	-20.2002
107.500000	93.833	-20.4586
109.000000	93.743	-20.7481
110.599998	93.656	-20.5502
112.000000	93.645	-20.3252
113.800003	93.619	-20.4892
115.000000	93.579	-20.5530
117.199997	93.542	-20.6036
118.000000	93.525	-20.7537
120.599998	93.443	-20.3927
122.000000	93.477	-20.0576
124.099998	93.515	-20.5984
125.000000	93.481	-20.9512
126.500000	93.399	-21.2551
128.000000	93.333	-21.2998
131.500000	93.336	-21.0728
132.000000	93.349	-21.1412
134.000000	93.373	-21.6556
136.000000	93.349	-22.2467
138.000000	93.300	-22.6845
140.000000	93.243	-22.9482
143.000000	93.135	-22.9839
145.000000	93.041	-22.9320
147.500000	92.913	-22.9993
150.000000	92.833	-23.1365
152.500000	92.813	-23.2987
155.000000	92.791	-23.4592
157.500000	92.714	-23.7899
160.000000	92.615	-24.0593
162.500000	92.565	-23.9960
165.000000	92.537	-23.9494
167.500000	92.477	-23.9500
170.000000	92.415	-23.9403
172.500000	92.360	-24.1696
175.000000	92.269	-24.2603
177.500000	92.218	-24.2325
180.000000	92.179	-24.4913
182.500000	92.122	-24.5334
185.000000	92.078	-24.5130
187.500000	92.025	-24.6230
190.000000	91.975	-24.6261
192.500000	91.924	-24.6567
195.000000	91.862	-24.6810
197.500000	91.803	-24.7411
200.000000	91.746	-24.8234
203.000000	91.683	-24.7787
206.000000	91.633	-24.6907
209.000000	91.574	-24.7181
212.000000	91.520	-24.7446
214.000000	91.491	-24.7706
218.000000	91.450	-24.7139
220.000000	91.425	-24.8680
224.000000	91.308	-24.9556
227.000000	91.224	-24.6564
230.000000	91.162	-24.5691
233.000000	91.110	-24.6208
236.000000	91.064	-24.5821
240.000000	91.010	-24.6326
243.000000	90.970	-24.7391
247.000000	90.917	-24.7317
250.000000	90.872	-24.6935
254.000000	90.815	-24.5453
258.000000	90.739	-24.3684
262.000000	90.650	-24.2251
265.000000	90.590	-24.1506
269.000000	90.530	-24.1650
272.000000	90.493	-24.1629
276.000000	90.445	-24.1009
280.000000	90.383	-24.0459
285.000000	90.307	-23.8168
290.000000	90.215	-23.6809
295.000000	90.136	-23.6686
300.000000	90.049	-23.6010
304.000000	89.983	-23.4029
307.000000	89.941	-23.2570
311.000000	89.888	-23.0855
