* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 28, 2025 6:48:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L #69
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	89.386	177.1337
20.299999	89.403	176.4814
20.600000	89.415	175.8042
20.900000	89.422	175.1278
21.200001	89.430	174.4587
21.400000	89.437	174.0110
21.799999	89.453	173.0882
22.000000	89.463	172.6048
22.400000	89.479	171.5911
22.700001	89.486	170.8018
23.000000	89.489	170.0026
23.299999	89.488	169.2026
23.600000	89.485	168.4044
24.000000	89.475	167.3426
24.299999	89.462	166.5558
24.700001	89.434	165.5536
25.000000	89.406	164.8701
25.400000	89.370	164.0847
25.799999	89.348	163.4254
26.200001	89.350	162.8018
26.500000	89.364	162.2860
26.900000	89.386	161.4766
27.200001	89.394	160.7892
27.600000	89.383	159.8493
28.000000	89.348	159.0000
28.500000	89.298	158.1628
29.000000	89.274	157.4767
29.500000	89.275	156.7157
30.000000	89.272	155.7786
30.400000	89.249	154.9728
30.700001	89.219	154.4004
31.100000	89.172	153.7292
31.500000	89.131	153.1581
32.000000	89.098	152.4862
32.500000	89.081	151.7386
33.000000	89.061	150.8840
33.500000	89.028	149.9963
34.000000	88.987	149.1600
34.500000	88.950	148.3909
35.000000	88.923	147.6382
35.500000	88.902	146.8524
36.000000	88.878	146.0353
36.500000	88.850	145.2256
37.000000	88.818	144.4491
37.500000	88.786	143.7020
38.200001	88.739	142.6970
38.700001	88.703	142.0269
39.500000	88.655	141.0154
40.000000	88.630	140.3499
40.599998	88.595	139.4769
41.200001	88.542	138.5888
41.799999	88.476	137.7756
42.500000	88.403	136.9334
43.099998	88.350	136.2409
43.700001	88.303	135.5405
44.400002	88.253	134.7222
45.000000	88.216	134.0244
45.500000	88.191	133.4302
46.200001	88.160	132.5554
46.799999	88.128	131.7807
47.500000	88.085	130.9030
48.200001	88.041	130.0737
48.700001	88.009	129.4934
49.400002	87.963	128.6820
50.000000	87.919	127.9961
50.799999	87.854	127.1062
51.500000	87.795	126.3442
52.200001	87.734	125.5950
53.000000	87.665	124.7414
53.799999	87.594	123.8766
54.500000	87.532	123.1304
55.200001	87.472	122.4081
56.000000	87.411	121.5872
57.000000	87.339	120.5243
58.000000	87.260	119.4551
59.000000	87.173	118.5039
60.000000	87.099	117.6562
60.799999	87.047	116.9472
61.500000	86.998	116.3077
62.200001	86.946	115.6835
63.000000	86.887	114.9844
64.000000	86.814	114.1110
65.000000	86.743	113.2327
66.000000	86.672	112.3360
67.000000	86.597	111.4483
68.000000	86.518	110.6174
69.000000	86.444	109.8552
70.000000	86.379	109.0742
