* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 28, 2025 7:01:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L #69 Propeller
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	89.038	177.8874
20.299999	89.194	177.4674
20.600000	89.328	176.5464
20.900000	89.411	175.3460
21.200001	89.440	174.1072
21.400000	89.439	173.3486
21.799999	89.415	172.0836
22.000000	89.405	171.5681
22.400000	89.400	170.6727
22.700001	89.410	170.0434
23.000000	89.425	169.4148
23.299999	89.443	168.7846
23.600000	89.461	168.1529
24.000000	89.489	167.2814
24.299999	89.509	166.5743
24.700001	89.520	165.5465
25.000000	89.506	164.7554
25.400000	89.456	163.8007
25.799999	89.389	163.0820
26.200001	89.339	162.5877
26.500000	89.330	162.2469
26.900000	89.348	161.6174
27.200001	89.367	160.9202
27.600000	89.360	159.7179
28.000000	89.293	158.4153
28.500000	89.135	157.0890
29.000000	88.970	156.3842
29.500000	88.880	156.1122
30.000000	88.887	155.7853
30.400000	88.933	155.2549
30.700001	88.972	154.6834
31.100000	89.015	153.7493
31.500000	89.039	152.7085
32.000000	89.041	151.3915
32.500000	89.013	150.1824
33.000000	88.968	149.1686
33.500000	88.920	148.3542
34.000000	88.876	147.6806
34.500000	88.831	147.1130
35.000000	88.785	146.6734
35.500000	88.752	146.3421
36.000000	88.744	145.9754
36.500000	88.745	145.3984
37.000000	88.722	144.5972
37.500000	88.657	143.7574
38.200001	88.538	142.8513
38.700001	88.483	142.3086
39.500000	88.441	141.0548
40.000000	88.393	140.0238
40.599998	88.300	138.8912
41.200001	88.222	138.0395
41.799999	88.194	137.2277
42.500000	88.179	136.0543
43.099998	88.140	135.0588
43.700001	88.099	134.2695
44.400002	88.077	133.4300
45.000000	88.050	132.6491
45.500000	88.007	132.0766
46.200001	87.952	131.5255
46.799999	87.941	131.0342
47.500000	87.926	130.0813
48.200001	87.839	128.9713
48.700001	87.744	128.4049
49.400002	87.640	128.0194
50.000000	87.624	127.7048
50.799999	87.648	126.6707
51.500000	87.614	125.3307
52.200001	87.513	124.1349
53.000000	87.379	123.2351
53.799999	87.269	122.7468
54.500000	87.220	122.5271
55.200001	87.224	122.1819
56.000000	87.233	121.3850
57.000000	87.188	120.2355
58.000000	87.140	119.1076
59.000000	87.063	117.7682
60.000000	86.941	116.6321
60.799999	86.855	115.9356
61.500000	86.796	115.3487
62.200001	86.743	114.7294
63.000000	86.680	114.0010
64.000000	86.597	113.0975
65.000000	86.504	112.2431
66.000000	86.414	111.5330
67.000000	86.356	110.8275
68.000000	86.303	109.9237
69.000000	86.224	108.9954
70.000000	86.141	108.2256
71.000000	86.068	107.5018
72.000000	85.997	106.8200
73.000000	85.938	106.1429
74.000000	85.884	105.3716
75.000000	85.825	104.5354
76.199997	85.747	103.5341
77.500000	85.672	102.4334
78.800003	85.588	101.3319
80.000000	85.524	100.3652
81.199997	85.448	99.3852
82.500000	85.373	98.5443
83.800003	85.301	97.7200
85.000000	85.221	97.1293
86.199997	85.142	96.6387
87.500000	85.041	96.1052
88.500000	84.958	95.6955
90.000000	84.832	94.8954
91.199997	84.728	94.0914
92.500000	84.620	93.1557
93.800003	84.529	92.2696
95.000000	84.462	91.5434
96.199997	84.407	90.9029
97.500000	84.352	90.2621
98.800003	84.289	89.5929
100.000000	84.218	88.9451
101.500000	84.118	88.0953
103.000000	84.015	87.3174
104.400002	83.934	86.6410
106.000000	83.853	85.9296
107.500000	83.781	85.1977
109.000000	83.706	84.4677
110.599998	83.634	83.6161
112.000000	83.569	82.8978
113.800003	83.499	82.1196
115.000000	83.453	81.5959
117.199997	83.339	80.7325
118.000000	83.297	80.4537
120.599998	83.170	79.3028
122.000000	83.093	78.6614
124.099998	82.999	77.9348
125.000000	82.971	77.6271
126.500000	82.925	77.0051
128.000000	82.857	76.2929
131.500000	82.657	75.0169
132.000000	82.633	74.8767
134.000000	82.561	74.3243
136.000000	82.504	73.6591
138.000000	82.433	72.9616
140.000000	82.356	72.3443
143.000000	82.235	71.4608
145.000000	82.158	70.8924
147.500000	82.081	70.1530
150.000000	82.022	69.4285
152.500000	81.971	68.6830
155.000000	81.906	67.9215
157.500000	81.847	67.1435
160.000000	81.770	66.6732
162.500000	81.707	65.9063
165.000000	81.628	65.3623
167.500000	81.591	64.5231
170.000000	81.515	63.8085
172.500000	81.449	63.4254
175.000000	81.443	63.0489
177.500000	81.415	62.0374
180.000000	81.287	61.2157
182.500000	81.200	61.0791
185.000000	81.208	60.7729
187.500000	81.203	60.0536
190.000000	81.106	59.4975
192.500000	80.984	59.2411
195.000000	80.877	58.9903
197.500000	80.813	58.6395
200.000000	80.794	57.8789
203.000000	80.820	56.7591
206.000000	80.893	56.0063
209.000000	80.921	55.6478
212.000000	80.881	55.2632
214.000000	80.845	54.8873
218.000000	80.814	54.2478
220.000000	80.801	53.9539
224.000000	80.744	53.3274
227.000000	80.705	52.8040
230.000000	80.686	52.1872
233.000000	80.684	51.6086
236.000000	80.677	51.2134
240.000000	80.652	50.7627
243.000000	80.630	50.2758
247.000000	80.621	49.7006
250.000000	80.598	49.2846
254.000000	80.582	48.7682
258.000000	80.587	48.1864
262.000000	80.589	47.4889
265.000000	80.572	46.9982
269.000000	80.548	46.5230
272.000000	80.539	46.2313
276.000000	80.553	45.7779
280.000000	80.568	45.1470
285.000000	80.571	44.4464
290.000000	80.569	43.9305
295.000000	80.560	43.3462
300.000000	80.566	42.6520
304.000000	80.578	42.1289
307.000000	80.587	41.7711
311.000000	80.596	41.3171
315.000000	80.603	40.8644
320.000000	80.611	40.2589
325.000000	80.625	39.6510
330.000000	80.642	39.1132
335.000000	80.651	38.4837
340.000000	80.661	37.9244
345.000000	80.679	37.3848
350.000000	80.696	36.8206
355.000000	80.711	36.2386
360.000000	80.727	35.6581
365.000000	80.743	35.1118
370.000000	80.762	34.5635
375.000000	80.781	34.0117
382.000000	80.808	33.2487
387.000000	80.824	32.7036
395.000000	80.845	31.8435
400.000000	80.861	31.2882
406.000000	80.878	30.7018
412.000000	80.893	30.1385
418.000000	80.914	29.4684
425.000000	80.937	28.7393
431.000000	80.949	28.0464
437.000000	80.948	27.5037
444.000000	80.968	26.9646
450.000000	80.990	26.3828
455.000000	80.998	25.8674
462.000000	81.001	25.1126
468.000000	81.011	24.4273
475.000000	81.037	23.7339
482.000000	81.057	23.1741
487.000000	81.062	22.7476
494.000000	81.070	22.1274
500.000000	81.078	21.6025
508.000000	81.089	20.8949
515.000000	81.097	20.2944
522.000000	81.104	19.7057
530.000000	81.107	19.0430
538.000000	81.109	18.4138
545.000000	81.112	17.8763
552.000000	81.113	17.3233
560.000000	81.113	16.7126
570.000000	81.111	15.9905
580.000000	81.110	15.2810
590.000000	81.106	14.6108
600.000000	81.102	13.9503
608.000000	81.096	13.4390
615.000000	81.090	13.0016
622.000000	81.084	12.5851
630.000000	81.076	12.1271
640.000000	81.067	11.5660
650.000000	81.057	11.0043
660.000000	81.047	10.4682
670.000000	81.038	9.9656
680.000000	81.028	9.5223
690.000000	81.018	9.0776
700.000000	81.009	8.6280
710.000000	80.999	8.2188
720.000000	80.989	7.8473
730.000000	80.981	7.4905
740.000000	80.976	7.1525
750.000000	80.971	6.8409
762.000000	80.963	6.4850
775.000000	80.954	6.1226
788.000000	80.951	5.7889
