* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 28, 2025 6:56:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R #69 Propeller
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	89.608	173.7091
20.299999	89.598	172.6035
20.600000	89.581	171.6633
20.900000	89.572	170.8855
21.200001	89.582	170.1827
21.400000	89.597	169.6945
21.799999	89.627	168.5735
22.000000	89.627	167.9480
22.400000	89.575	166.7244
22.700001	89.491	166.0127
23.000000	89.391	165.6081
23.299999	89.302	165.5221
23.600000	89.251	165.6492
24.000000	89.255	165.8305
24.299999	89.296	165.7614
24.700001	89.358	165.2632
25.000000	89.384	164.6326
25.400000	89.371	163.6318
25.799999	89.310	162.6614
26.200001	89.223	161.8650
26.500000	89.159	161.3933
26.900000	89.092	160.8640
27.200001	89.060	160.4719
27.600000	89.036	159.8672
28.000000	89.022	159.1287
28.500000	89.001	158.0530
29.000000	88.966	156.9074
29.500000	88.917	155.7876
30.000000	88.854	154.7912
30.400000	88.803	154.1603
30.700001	88.772	153.8010
31.100000	88.759	153.4148
31.500000	88.784	152.9820
32.000000	88.841	152.1158
32.500000	88.863	150.8584
33.000000	88.803	149.5668
33.500000	88.689	148.6987
34.000000	88.603	148.3351
34.500000	88.598	148.0574
35.000000	88.640	147.3834
35.500000	88.652	146.2781
36.000000	88.594	145.1257
36.500000	88.499	144.3203
37.000000	88.431	143.9087
37.500000	88.428	143.5875
38.200001	88.488	142.7040
38.700001	88.514	141.7254
39.500000	88.469	140.0873
40.000000	88.404	139.2829
40.599998	88.322	138.6014
41.200001	88.259	138.1187
41.799999	88.218	137.6803
42.500000	88.186	137.0808
43.099998	88.159	136.4541
43.700001	88.126	135.7389
44.400002	88.075	134.8292
45.000000	88.023	134.0199
45.500000	87.975	133.3503
46.200001	87.908	132.4473
46.799999	87.857	131.7010
47.500000	87.807	130.8334
48.200001	87.762	129.9509
48.700001	87.730	129.3127
49.400002	87.680	128.4253
50.000000	87.631	127.7012
50.799999	87.560	126.8364
51.500000	87.501	126.1543
52.200001	87.448	125.4800
53.000000	87.388	124.6809
53.799999	87.325	123.8571
54.500000	87.270	123.1193
55.200001	87.213	122.3599
56.000000	87.144	121.4857
57.000000	87.056	120.4799
58.000000	86.990	119.5118
59.000000	86.925	118.4442
60.000000	86.845	117.4642
60.799999	86.790	116.7679
61.500000	86.748	116.1332
62.200001	86.700	115.4766
63.000000	86.637	114.7738
64.000000	86.565	113.9807
65.000000	86.499	113.1649
66.000000	86.429	112.3408
67.000000	86.361	111.5325
68.000000	86.292	110.7226
69.000000	86.225	109.9373
70.000000	86.162	109.1250
71.000000	86.090	108.3227
72.000000	86.020	107.5838
73.000000	85.953	106.8292
74.000000	85.879	106.0645
75.000000	85.802	105.3474
76.199997	85.714	104.5169
77.500000	85.625	103.5911
78.800003	85.534	102.6404
80.000000	85.449	101.8034
81.199997	85.370	100.9955
82.500000	85.286	100.1099
83.800003	85.199	99.2512
85.000000	85.118	98.5026
86.199997	85.043	97.7851
87.500000	84.966	96.9847
88.500000	84.904	96.3799
90.000000	84.814	95.5117
91.199997	84.745	94.8186
92.500000	84.669	94.0370
93.800003	84.588	93.2959
95.000000	84.519	92.6287
96.199997	84.448	91.9498
97.500000	84.373	91.2617
98.800003	84.300	90.5681
100.000000	84.230	89.9335
101.500000	84.138	89.1775
103.000000	84.055	88.4537
104.400002	83.981	87.7425
106.000000	83.899	86.9065
107.500000	83.820	86.1580
109.000000	83.745	85.4415
110.599998	83.660	84.6996
112.000000	83.590	84.1034
113.800003	83.501	83.2925
115.000000	83.441	82.7727
117.199997	83.342	81.8549
118.000000	83.307	81.4950
120.599998	83.187	80.4319
122.000000	83.127	79.8615
124.099998	83.035	79.0234
125.000000	82.996	78.6718
126.500000	82.929	78.1139
128.000000	82.868	77.5922
131.500000	82.730	76.3196
132.000000	82.710	76.1494
134.000000	82.635	75.4362
136.000000	82.553	74.7397
138.000000	82.477	74.1564
140.000000	82.413	73.5504
143.000000	82.304	72.6181
145.000000	82.233	72.0910
147.500000	82.174	71.3933
150.000000	82.134	70.5440
152.500000	82.063	69.8052
155.000000	81.996	69.1834
157.500000	81.918	68.4273
160.000000	81.857	67.6343
162.500000	81.806	66.8721
165.000000	81.746	66.3593
167.500000	81.687	65.8921
170.000000	81.629	65.1797
172.500000	81.577	64.3472
175.000000	81.524	63.6727
177.500000	81.467	63.1948
180.000000	81.403	62.6981
182.500000	81.351	62.1380
185.000000	81.311	61.5733
187.500000	81.275	60.9826
190.000000	81.241	60.3749
192.500000	81.219	59.7089
195.000000	81.193	59.3048
197.500000	81.167	58.9784
200.000000	81.113	58.5032
203.000000	81.057	57.9562
206.000000	81.051	57.4026
209.000000	81.021	56.6898
212.000000	80.955	56.2090
214.000000	80.929	55.9610
218.000000	80.906	55.3292
220.000000	80.891	55.0215
224.000000	80.864	54.4402
227.000000	80.847	53.9498
230.000000	80.827	53.4006
233.000000	80.811	52.8130
236.000000	80.809	52.2292
240.000000	80.809	51.6216
243.000000	80.788	51.2421
247.000000	80.750	50.6379
250.000000	80.740	50.1320
254.000000	80.739	49.5256
258.000000	80.732	48.9450
262.000000	80.723	48.3623
265.000000	80.719	47.9434
269.000000	80.717	47.3914
272.000000	80.715	46.9844
276.000000	80.713	46.4315
280.000000	80.711	45.8771
285.000000	80.713	45.1963
290.000000	80.719	44.5283
295.000000	80.726	43.8624
300.000000	80.736	43.1787
304.000000	80.744	42.6332
307.000000	80.750	42.2300
311.000000	80.759	41.7115
315.000000	80.769	41.2076
320.000000	80.783	40.5768
325.000000	80.795	39.9500
330.000000	80.806	39.3354
335.000000	80.818	38.7193
340.000000	80.831	38.1098
345.000000	80.844	37.4942
