* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 28, 2025 6:39:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R #69
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	89.151	176.1038
20.299999	89.152	175.7806
20.600000	89.182	175.4305
20.900000	89.232	174.9643
21.200001	89.288	174.3380
21.400000	89.322	173.8341
21.799999	89.368	172.6782
22.000000	89.377	172.0638
22.400000	89.369	170.8539
22.700001	89.345	170.0161
23.000000	89.314	169.2633
23.299999	89.281	168.5966
23.600000	89.252	168.0036
24.000000	89.223	167.2910
24.299999	89.212	166.7826
24.700001	89.211	166.0877
25.000000	89.218	165.5228
25.400000	89.230	164.6860
25.799999	89.235	163.7670
26.200001	89.225	162.8216
26.500000	89.210	162.1370
26.900000	89.184	161.2903
27.200001	89.166	160.7018
27.600000	89.148	159.9449
28.000000	89.134	159.1816
28.500000	89.111	158.2197
29.000000	89.079	157.3308
29.500000	89.053	156.5701
30.000000	89.051	155.8466
30.400000	89.064	155.1810
30.700001	89.073	154.5994
31.100000	89.071	153.7436
31.500000	89.047	152.8828
32.000000	88.993	151.9443
32.500000	88.940	151.2037
33.000000	88.909	150.5529
33.500000	88.893	149.8510
34.000000	88.875	149.0605
34.500000	88.845	148.2451
35.000000	88.806	147.4766
35.500000	88.769	146.7686
36.000000	88.739	146.0844
36.500000	88.715	145.3762
37.000000	88.694	144.6168
37.500000	88.668	143.8118
38.200001	88.616	142.6821
38.700001	88.572	141.9333
39.500000	88.508	140.8491
40.000000	88.476	140.1904
40.599998	88.441	139.3807
41.200001	88.402	138.5721
41.799999	88.361	137.7964
42.500000	88.316	136.9227
43.099998	88.277	136.1762
43.700001	88.237	135.4337
44.400002	88.189	134.5802
45.000000	88.147	133.8489
45.500000	88.110	133.2373
46.200001	88.055	132.3926
46.799999	88.007	131.6849
47.500000	87.950	130.8735
48.200001	87.895	130.0869
48.700001	87.858	129.5378
49.400002	87.811	128.7556
50.000000	87.771	128.0570
50.799999	87.711	127.1174
51.500000	87.655	126.3143
52.200001	87.594	125.5419
53.000000	87.523	124.7260
53.799999	87.461	123.9512
54.500000	87.411	123.2530
55.200001	87.359	122.5493
56.000000	87.301	121.7667
57.000000	87.232	120.7800
58.000000	87.161	119.7863
59.000000	87.089	118.8014
60.000000	87.010	117.8405
60.799999	86.947	117.1259
61.500000	86.896	116.5190
