* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 20, 2025 8:50:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L Black Tips (M)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.166	-174.3829
20.299999	97.150	-174.7974
20.600000	97.143	-175.2950
20.900000	97.131	-175.8941
21.200001	97.103	-176.5524
21.400000	97.073	-176.9808
21.799999	96.989	-177.6919
22.000000	96.945	-177.9405
22.400000	96.877	-178.2412
22.700001	96.857	-178.3970
23.000000	96.863	-178.6171
23.299999	96.882	-178.9799
23.600000	96.896	-179.4952
24.000000	96.887	179.6874
24.299999	96.856	179.0934
24.700001	96.798	178.4530
25.000000	96.758	178.0951
25.400000	96.721	177.6949
25.799999	96.701	177.2640
26.200001	96.678	176.7584
26.500000	96.652	176.3677
26.900000	96.606	175.9106
27.200001	96.571	175.6435
27.600000	96.535	175.3596
28.000000	96.515	175.0720
28.500000	96.498	174.5952
29.000000	96.466	174.0039
29.500000	96.409	173.4347
30.000000	96.342	172.9896
30.400000	96.293	172.7145
30.700001	96.262	172.5273
31.100000	96.226	172.2713
31.500000	96.194	171.9919
32.000000	96.153	171.6188
32.500000	96.112	171.2399
33.000000	96.074	170.8555
33.500000	96.037	170.4477
34.000000	95.997	170.0171
34.500000	95.949	169.6002
35.000000	95.896	169.2448
35.500000	95.847	168.9641
36.000000	95.809	168.7216
36.500000	95.778	168.4611
37.000000	95.748	168.1569
37.500000	95.710	167.8358
38.200001	95.643	167.4607
38.700001	95.595	167.2769
39.500000	95.536	167.0143
40.000000	95.500	166.7972
40.599998	95.445	166.5173
41.200001	95.380	166.3195
41.799999	95.325	166.2146
42.500000	95.282	166.0494
43.099998	95.247	165.7840
43.700001	95.197	165.4787
44.400002	95.128	165.2030
45.000000	95.076	165.0256
45.500000	95.039	164.8691
46.200001	94.985	164.6225
46.799999	94.936	164.4332
47.500000	94.881	164.2659
48.200001	94.834	164.1076
48.700001	94.802	163.9765
49.400002	94.753	163.7853
50.000000	94.709	163.6467
50.799999	94.653	163.5054
51.500000	94.609	163.3797
52.200001	94.565	163.2305
53.000000	94.512	163.0705
53.799999	94.462	162.9392
54.500000	94.423	162.8142
55.200001	94.383	162.6721
56.000000	94.333	162.5183
57.000000	94.268	162.3763
58.000000	94.209	162.2982
59.000000	94.159	162.1934
60.000000	94.101	162.0471
60.799999	94.050	161.9628
61.500000	94.007	161.9042
62.200001	93.965	161.8452
63.000000	93.918	161.7850
64.000000	93.865	161.7039
65.000000	93.812	161.5956
66.000000	93.756	161.5062
67.000000	93.704	161.4460
68.000000	93.656	161.3923
69.000000	93.608	161.3441
70.000000	93.562	161.3020
71.000000	93.518	161.2584
72.000000	93.473	161.2075
73.000000	93.427	161.1567
74.000000	93.380	161.1165
75.000000	93.334	161.0947
76.199997	93.283	161.0746
77.500000	93.228	161.0377
78.800003	93.169	161.0236
80.000000	93.119	161.0383
81.199997	93.071	161.0556
82.500000	93.024	161.0816
83.800003	92.980	161.0733
85.000000	92.937	161.0591
86.199997	92.892	161.0444
87.500000	92.841	161.0557
88.500000	92.803	161.0805
90.000000	92.748	161.1024
91.199997	92.705	161.1305
92.500000	92.663	161.1539
93.800003	92.622	161.1750
95.000000	92.585	161.1999
