* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 20, 2025 8:34:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R Black Tips (M)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	96.543	5.8448
20.299999	96.544	5.3407
20.600000	96.546	4.7651
20.900000	96.541	4.1296
21.200001	96.525	3.4646
21.400000	96.508	3.0258
21.799999	96.458	2.2151
22.000000	96.430	1.8615
22.400000	96.375	1.2672
22.700001	96.344	0.8903
23.000000	96.323	0.5237
23.299999	96.310	0.1261
23.600000	96.297	-0.3201
24.000000	96.269	-0.9609
24.299999	96.236	-1.4236
24.700001	96.182	-1.9464
25.000000	96.144	-2.2587
25.400000	96.104	-2.6198
25.799999	96.074	-3.0006
26.200001	96.042	-3.4356
26.500000	96.010	-3.7655
26.900000	95.955	-4.1367
27.200001	95.915	-4.3361
27.600000	95.875	-4.5310
28.000000	95.857	-4.7498
28.500000	95.845	-5.1992
29.000000	95.815	-5.8201
29.500000	95.756	-6.4320
30.000000	95.689	-6.9222
30.400000	95.643	-7.2632
30.700001	95.613	-7.5286
31.100000	95.573	-7.9130
31.500000	95.527	-8.3071
32.000000	95.464	-8.7454
32.500000	95.405	-9.1035
33.000000	95.358	-9.4426
33.500000	95.314	-9.8165
34.000000	95.264	-10.1993
34.500000	95.205	-10.5233
35.000000	95.147	-10.7545
35.500000	95.097	-10.9161
36.000000	95.058	-11.0593
36.500000	95.025	-11.2292
37.000000	94.995	-11.4495
37.500000	94.959	-11.7148
38.200001	94.895	-12.1052
38.700001	94.842	-12.3571
39.500000	94.758	-12.7045
40.000000	94.711	-12.9182
40.599998	94.658	-13.2169
41.200001	94.602	-13.5795
41.799999	94.533	-13.9411
42.500000	94.443	-14.1976
43.099998	94.387	-14.2664
43.700001	94.362	-14.3753
44.400002	94.339	-14.7137
45.000000	94.293	-15.0471
45.500000	94.243	-15.2148
46.200001	94.186	-15.2776
46.799999	94.155	-15.3173
47.500000	94.124	-15.4425
48.200001	94.085	-15.6223
48.700001	94.050	-15.7765
49.400002	93.984	-15.9843
50.000000	93.913	-16.0510
50.799999	93.837	-15.9363
51.500000	93.807	-15.8733
52.200001	93.786	-16.0388
53.000000	93.734	-16.3794
53.799999	93.658	-16.6235
54.500000	93.594	-16.7064
55.200001	93.543	-16.7329
56.000000	93.495	-16.7635
57.000000	93.438	-16.8273
58.000000	93.377	-16.8691
59.000000	93.315	-16.8708
60.000000	93.254	-16.8939
60.799999	93.202	-16.9246
61.500000	93.157	-16.9539
62.200001	93.115	-17.0046
63.000000	93.066	-17.0894
64.000000	93.008	-17.1841
65.000000	92.961	-17.2440
66.000000	92.925	-17.3215
67.000000	92.887	-17.4065
68.000000	92.845	-17.4048
69.000000	92.807	-17.3655
70.000000	92.764	-17.3393
71.000000	92.714	-17.2849
72.000000	92.664	-17.2342
73.000000	92.615	-17.2153
74.000000	92.567	-17.2259
75.000000	92.518	-17.2415
76.199997	92.465	-17.2050
77.500000	92.422	-17.1656
78.800003	92.377	-17.1573
80.000000	92.332	-17.1332
81.199997	92.285	-17.1171
82.500000	92.230	-17.0668
83.800003	92.188	-16.9771
85.000000	92.153	-16.9389
86.199997	92.116	-16.8853
87.500000	92.069	-16.8208
88.500000	92.028	-16.7465
90.000000	91.964	-16.6146
91.199997	91.917	-16.4902
92.500000	91.880	-16.3882
93.800003	91.850	-16.3595
95.000000	91.816	-16.3195
96.199997	91.791	-16.1489
97.500000	91.780	-16.0278
98.800003	91.754	-15.9895
100.000000	91.719	-15.9083
101.500000	91.682	-15.7540
103.000000	91.661	-15.6896
104.400002	91.640	-15.7095
106.000000	91.611	-15.7000
107.500000	91.581	-15.6405
109.000000	91.550	-15.5288
110.599998	91.518	-15.4235
112.000000	91.487	-15.3521
113.800003	91.449	-15.2781
115.000000	91.425	-15.2441
117.199997	91.381	-15.1592
118.000000	91.365	-15.1154
120.599998	91.311	-14.9415
122.000000	91.281	-14.8448
124.099998	91.236	-14.7391
125.000000	91.217	-14.7073
126.500000	91.186	-14.6428
128.000000	91.158	-14.5236
131.500000	91.115	-14.1378
132.000000	91.110	-14.0879
134.000000	91.087	-13.9269
136.000000	91.061	-13.8044
138.000000	91.042	-13.7148
140.000000	91.028	-13.6711
143.000000	91.007	-13.6115
145.000000	90.988	-13.5411
147.500000	90.961	-13.4349
150.000000	90.931	-13.3680
152.500000	90.896	-13.2950
155.000000	90.866	-13.1886
157.500000	90.838	-13.0781
160.000000	90.810	-12.9818
162.500000	90.782	-12.8763
165.000000	90.759	-12.7845
167.500000	90.737	-12.7115
170.000000	90.715	-12.6255
172.500000	90.690	-12.5300
175.000000	90.663	-12.4131
177.500000	90.639	-12.3105
180.000000	90.616	-12.2228
182.500000	90.592	-12.1116
185.000000	90.569	-11.9923
187.500000	90.548	-11.8964
190.000000	90.529	-11.8014
192.500000	90.513	-11.6863
195.000000	90.495	-11.5823
197.500000	90.473	-11.4897
200.000000	90.454	-11.4064
203.000000	90.437	-11.3195
206.000000	90.418	-11.2278
209.000000	90.396	-11.1339
212.000000	90.373	-11.0516
214.000000	90.359	-10.9926
218.000000	90.333	-10.8687
220.000000	90.319	-10.8082
224.000000	90.292	-10.6821
227.000000	90.273	-10.5836
230.000000	90.253	-10.4912
233.000000	90.231	-10.4025
236.000000	90.211	-10.3129
240.000000	90.185	-10.1809
243.000000	90.166	-10.0886
247.000000	90.141	-9.9858
250.000000	90.124	-9.9060
254.000000	90.101	-9.7860
258.000000	90.077	-9.6655
262.000000	90.053	-9.5422
265.000000	90.037	-9.4556
269.000000	90.015	-9.3535
272.000000	90.000	-9.2664
276.000000	89.979	-9.1514
280.000000	89.957	-9.0450
285.000000	89.931	-8.9122
290.000000	89.904	-8.8008
295.000000	89.878	-8.6770
300.000000	89.852	-8.5440
304.000000	89.830	-8.4445
307.000000	89.813	-8.3704
311.000000	89.792	-8.2723
315.000000	89.770	-8.1778
320.000000	89.745	-8.0514
325.000000	89.720	-7.9174
330.000000	89.694	-7.7850
335.000000	89.669	-7.6608
340.000000	89.644	-7.5350
345.000000	89.620	-7.4033
350.000000	89.595	-7.2686
355.000000	89.569	-7.1268
360.000000	89.544	-6.9844
365.000000	89.520	-6.8496
370.000000	89.496	-6.7166
375.000000	89.473	-6.5801
382.000000	89.438	-6.3817
387.000000	89.414	-6.2334
395.000000	89.377	-6.0025
400.000000	89.354	-5.8629
406.000000	89.325	-5.6924
412.000000	89.296	-5.5096
418.000000	89.268	-5.3335
425.000000	89.237	-5.1034
431.000000	89.212	-4.8986
437.000000	89.188	-4.7072
444.000000	89.160	-4.4883
450.000000	89.139	-4.2966
455.000000	89.122	-4.1388
462.000000	89.100	-3.9327
468.000000	89.081	-3.7697
475.000000	89.057	-3.5833
482.000000	89.030	-3.4192
487.000000	89.009	-3.3112
494.000000	88.978	-3.1497
500.000000	88.950	-2.9929
508.000000	88.911	-2.7623
515.000000	88.877	-2.5483
522.000000	88.843	-2.3285
530.000000	88.804	-2.0682
538.000000	88.765	-1.7933
545.000000	88.733	-1.5392
552.000000	88.701	-1.2787
560.000000	88.665	-0.9730
570.000000	88.622	-0.5798
580.000000	88.580	-0.1804
590.000000	88.538	0.2305
600.000000	88.498	0.6438
608.000000	88.467	0.9779
615.000000	88.442	1.2825
622.000000	88.416	1.5962
630.000000	88.387	1.9584
640.000000	88.352	2.4167
650.000000	88.318	2.8756
660.000000	88.285	3.3418
670.000000	88.252	3.8256
680.000000	88.221	4.3176
690.000000	88.193	4.8149
700.000000	88.167	5.3269
710.000000	88.142	5.8533
720.000000	88.118	6.3837
730.000000	88.096	6.9171
740.000000	88.076	7.4606
750.000000	88.057	8.0172
762.000000	88.038	8.6919
775.000000	88.021	9.4397
788.000000	88.007	10.1898
800.000000	87.999	10.8933
