* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 20, 2025 8:54:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L Foam Tips
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	96.940	-173.4832
20.299999	96.910	-174.0041
20.600000	96.885	-174.4507
20.900000	96.867	-174.8408
21.200001	96.860	-175.2089
21.400000	96.860	-175.4604
21.799999	96.866	-176.0094
22.000000	96.869	-176.3111
22.400000	96.869	-176.9544
22.700001	96.860	-177.4501
23.000000	96.845	-177.9391
23.299999	96.823	-178.4129
23.600000	96.796	-178.8680
24.000000	96.753	-179.4415
24.299999	96.714	-179.8403
24.700001	96.657	179.6818
25.000000	96.613	179.3669
25.400000	96.556	178.9974
25.799999	96.504	178.6671
26.200001	96.458	178.3595
26.500000	96.429	178.1366
26.900000	96.399	177.8331
27.200001	96.385	177.5782
27.600000	96.374	177.1594
28.000000	96.364	176.6238
28.500000	96.333	175.8399
29.000000	96.273	175.0944
29.500000	96.202	174.5356
30.000000	96.149	174.1348
30.400000	96.124	173.8252
30.700001	96.110	173.5607
31.100000	96.088	173.1728
31.500000	96.058	172.7914
32.000000	96.018	172.3821
32.500000	95.985	172.0183
33.000000	95.956	171.6179
33.500000	95.917	171.1733
34.000000	95.862	170.7662
34.500000	95.800	170.4593
35.000000	95.746	170.2281
35.500000	95.700	170.0127
36.000000	95.658	169.7868
36.500000	95.620	169.5470
37.000000	95.585	169.2742
37.500000	95.548	168.9541
38.200001	95.479	168.5132
38.700001	95.425	168.2940
39.500000	95.360	168.0510
40.000000	95.330	167.8537
40.599998	95.285	167.5863
41.200001	95.233	167.4083
41.799999	95.197	167.3094
42.500000	95.179	167.0677
43.099998	95.152	166.6789
43.700001	95.096	166.2665
44.400002	95.010	165.9556
45.000000	94.944	165.8357
45.500000	94.901	165.7665
46.200001	94.852	165.6332
46.799999	94.813	165.4845
47.500000	94.771	165.2964
48.200001	94.732	165.0685
48.700001	94.700	164.8744
49.400002	94.644	164.6236
50.000000	94.592	164.4905
50.799999	94.536	164.3835
51.500000	94.495	164.2587
52.200001	94.451	164.1180
53.000000	94.401	163.9868
53.799999	94.355	163.8525
54.500000	94.314	163.7246
55.200001	94.273	163.6000
56.000000	94.226	163.4582
57.000000	94.165	163.3268
58.000000	94.115	163.2113
59.000000	94.061	163.0150
60.000000	93.994	162.8774
60.799999	93.946	162.8218
61.500000	93.908	162.7569
62.200001	93.869	162.6780
63.000000	93.824	162.5903
64.000000	93.765	162.4974
65.000000	93.710	162.4461
66.000000	93.663	162.4050
67.000000	93.620	162.3455
68.000000	93.577	162.2707
69.000000	93.531	162.1998
70.000000	93.485	162.1620
71.000000	93.440	162.1205
72.000000	93.393	162.0728
73.000000	93.344	162.0617
74.000000	93.303	162.0529
75.000000	93.262	161.9859
76.199997	93.205	161.9147
77.500000	93.148	161.9114
78.800003	93.098	161.9120
80.000000	93.055	161.8925
81.199997	93.007	161.8762
82.500000	92.958	161.8798
83.800003	92.909	161.8599
85.000000	92.863	161.8622
86.199997	92.820	161.8720
87.500000	92.775	161.8856
