* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 20, 2025 8:41:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R Foam Tips
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	96.545	5.5891
20.299999	96.506	5.1404
20.600000	96.474	4.7145
20.900000	96.447	4.2682
21.200001	96.418	3.7740
21.400000	96.395	3.4210
21.799999	96.328	2.7149
22.000000	96.286	2.3974
22.400000	96.195	1.9023
22.700001	96.134	1.6559
23.000000	96.092	1.4647
23.299999	96.070	1.2520
23.600000	96.062	0.9510
24.000000	96.057	0.3721
24.299999	96.046	-0.1646
24.700001	96.017	-0.9296
25.000000	95.988	-1.4981
25.400000	95.947	-2.2438
25.799999	95.903	-3.0028
26.200001	95.847	-3.7623
26.500000	95.791	-4.2760
26.900000	95.704	-4.7853
27.200001	95.643	-4.9985
27.600000	95.589	-5.1058
28.000000	95.575	-5.1680
28.500000	95.594	-5.4315
29.000000	95.605	-5.9492
29.500000	95.580	-6.5157
30.000000	95.533	-6.9371
30.400000	95.499	-7.1710
30.700001	95.480	-7.3325
31.100000	95.458	-7.5804
31.500000	95.433	-7.8838
32.000000	95.388	-8.3062
32.500000	95.328	-8.7153
33.000000	95.259	-9.0673
33.500000	95.188	-9.3437
34.000000	95.126	-9.5571
34.500000	95.079	-9.7618
35.000000	95.044	-10.0245
35.500000	95.012	-10.3649
36.000000	94.974	-10.7452
36.500000	94.931	-11.1176
37.000000	94.884	-11.4597
37.500000	94.835	-11.7579
38.200001	94.763	-12.0536
38.700001	94.721	-12.1804
39.500000	94.676	-12.4174
40.000000	94.645	-12.6569
40.599998	94.588	-12.9421
41.200001	94.522	-13.0920
41.799999	94.474	-13.1553
42.500000	94.442	-13.3651
43.099998	94.403	-13.6970
43.700001	94.342	-14.0065
44.400002	94.269	-14.2235
45.000000	94.221	-14.3787
45.500000	94.182	-14.5366
46.200001	94.119	-14.7321
46.799999	94.066	-14.8130
47.500000	94.019	-14.8790
48.200001	93.977	-15.0183
48.700001	93.940	-15.1464
