* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 20, 2025 8:45:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L Light Grey Tips (M)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.303	-174.1856
20.299999	97.277	-174.7538
20.600000	97.254	-175.2944
20.900000	97.235	-175.8383
21.200001	97.219	-176.4173
21.400000	97.205	-176.8292
21.799999	97.163	-177.6864
22.000000	97.131	-178.1022
22.400000	97.051	-178.8180
22.700001	96.986	-179.2030
23.000000	96.930	-179.4573
23.299999	96.893	-179.6305
23.600000	96.878	-179.7989
24.000000	96.881	179.8679
24.299999	96.888	179.5038
24.700001	96.887	178.9087
25.000000	96.874	178.4402
25.400000	96.847	177.8553
25.799999	96.819	177.3246
26.200001	96.794	176.8033
26.500000	96.775	176.3958
26.900000	96.739	175.8439
27.200001	96.704	175.4576
27.600000	96.651	175.0276
28.000000	96.602	174.7004
28.500000	96.558	174.3481
29.000000	96.529	173.9311
29.500000	96.493	173.4251
30.000000	96.440	172.9233
30.400000	96.391	172.5823
30.700001	96.355	172.3643
31.100000	96.313	172.1013
31.500000	96.274	171.8451
32.000000	96.229	171.5214
32.500000	96.185	171.2032
33.000000	96.144	170.8860
33.500000	96.106	170.5486
34.000000	96.064	170.1954
34.500000	96.015	169.8681
35.000000	95.967	169.5996
35.500000	95.926	169.3691
36.000000	95.894	169.1202
36.500000	95.863	168.8174
37.000000	95.825	168.4777
37.500000	95.777	168.1537
38.200001	95.702	167.8090
38.700001	95.655	167.6345
39.500000	95.600	167.3335
40.000000	95.567	167.0765
40.599998	95.517	166.7570
41.200001	95.462	166.5079
41.799999	95.418	166.2922
42.500000	95.371	165.9601
43.099998	95.318	165.6568
43.700001	95.257	165.4522
44.400002	95.203	165.2957
45.000000	95.165	165.1127
45.500000	95.128	164.9385
46.200001	95.073	164.7662
46.799999	95.038	164.6536
47.500000	95.005	164.4283
48.200001	94.958	164.1385
48.700001	94.917	163.9687
49.400002	94.862	163.7925
50.000000	94.818	163.6545
50.799999	94.760	163.4704
51.500000	94.711	163.3074
52.200001	94.657	163.1396
53.000000	94.591	163.0048
53.799999	94.536	162.9319
54.500000	94.497	162.8274
55.200001	94.455	162.6709
56.000000	94.401	162.5149
57.000000	94.344	162.3746
58.000000	94.296	162.1409
59.000000	94.228	161.8706
60.000000	94.153	161.7869
60.799999	94.110	161.7662
61.500000	94.074	161.7009
62.200001	94.034	161.6359
63.000000	93.989	161.5909
64.000000	93.936	161.5104
65.000000	93.878	161.4416
66.000000	93.828	161.3909
67.000000	93.780	161.2762
68.000000	93.724	161.1766
69.000000	93.672	161.1299
70.000000	93.625	161.1006
71.000000	93.581	161.0572
72.000000	93.533	161.0066
73.000000	93.482	161.0036
74.000000	93.438	161.0160
75.000000	93.395	161.0029
76.199997	93.343	160.9701
77.500000	93.286	160.9319
78.800003	93.230	160.9014
80.000000	93.179	160.8815
81.199997	93.128	160.8890
82.500000	93.079	160.8919
83.800003	93.028	160.8687
85.000000	92.980	160.8748
86.199997	92.938	160.8749
87.500000	92.890	160.8655
88.500000	92.855	160.8781
90.000000	92.804	160.8852
91.199997	92.762	160.9098
92.500000	92.719	160.9497
93.800003	92.677	160.9706
95.000000	92.638	160.9773
96.199997	92.598	160.9951
97.500000	92.556	161.0324
98.800003	92.517	161.0682
100.000000	92.479	161.1066
101.500000	92.434	161.1740
103.000000	92.390	161.2260
104.400002	92.348	161.2685
106.000000	92.301	161.3177
107.500000	92.259	161.3570
109.000000	92.216	161.3985
110.599998	92.170	161.4714
112.000000	92.132	161.5556
113.800003	92.084	161.6465
115.000000	92.051	161.7167
117.199997	91.992	161.8557
118.000000	91.970	161.9164
120.599998	91.909	162.1495
122.000000	91.879	162.2817
124.099998	91.837	162.4986
125.000000	91.821	162.6021
126.500000	91.799	162.7726
128.000000	91.784	162.9019
131.500000	91.748	163.0104
132.000000	91.743	163.0199
134.000000	91.722	163.0460
136.000000	91.695	163.0905
138.000000	91.666	163.1564
140.000000	91.634	163.2141
143.000000	91.584	163.2918
145.000000	91.554	163.3521
147.500000	91.518	163.4377
150.000000	91.480	163.5457
152.500000	91.445	163.6512
155.000000	91.411	163.7374
157.500000	91.380	163.8331
160.000000	91.350	163.9335
162.500000	91.319	164.0244
165.000000	91.289	164.0928
167.500000	91.258	164.1487
170.000000	91.228	164.2410
172.500000	91.200	164.3240
175.000000	91.168	164.4006
177.500000	91.136	164.4816
180.000000	91.106	164.5718
182.500000	91.079	164.6516
185.000000	91.052	164.7195
187.500000	91.025	164.7994
190.000000	91.000	164.8844
192.500000	90.974	164.9676
195.000000	90.947	165.0543
197.500000	90.921	165.1408
200.000000	90.896	165.2261
203.000000	90.866	165.3304
206.000000	90.838	165.4431
209.000000	90.810	165.5347
212.000000	90.782	165.6211
214.000000	90.764	165.6837
218.000000	90.728	165.8232
220.000000	90.709	165.8953
224.000000	90.674	166.0212
227.000000	90.648	166.1123
230.000000	90.623	166.2130
233.000000	90.597	166.3113
236.000000	90.573	166.4048
240.000000	90.541	166.5297
243.000000	90.517	166.6183
247.000000	90.486	166.7379
250.000000	90.462	166.8317
254.000000	90.430	166.9546
258.000000	90.401	167.0804
262.000000	90.372	167.1983
265.000000	90.350	167.2819
269.000000	90.321	167.4026
272.000000	90.300	167.4944
276.000000	90.273	167.6037
280.000000	90.245	167.7061
285.000000	90.212	167.8391
290.000000	90.178	167.9883
295.000000	90.143	168.1401
300.000000	90.110	168.2809
304.000000	90.085	168.3954
307.000000	90.065	168.4858
311.000000	90.039	168.6052
315.000000	90.015	168.7202
320.000000	89.984	168.8539
325.000000	89.954	168.9906
330.000000	89.923	169.1361
335.000000	89.892	169.2787
340.000000	89.863	169.4225
345.000000	89.833	169.5609
350.000000	89.803	169.7023
355.000000	89.774	169.8478
360.000000	89.745	169.9913
365.000000	89.715	170.1420
370.000000	89.685	170.2892
375.000000	89.657	170.4270
382.000000	89.618	170.6230
387.000000	89.590	170.7679
395.000000	89.544	171.0114
400.000000	89.516	171.1642
406.000000	89.483	171.3566
412.000000	89.452	171.5375
418.000000	89.420	171.7189
425.000000	89.383	171.9327
431.000000	89.351	172.1159
437.000000	89.319	172.3030
444.000000	89.281	172.5284
450.000000	89.249	172.7202
455.000000	89.223	172.8908
462.000000	89.186	173.1299
468.000000	89.158	173.3300
475.000000	89.125	173.5661
482.000000	89.091	173.8030
487.000000	89.068	173.9742
494.000000	89.035	174.2102
500.000000	89.005	174.4160
508.000000	88.968	174.6909
515.000000	88.935	174.9324
522.000000	88.901	175.1760
530.000000	88.862	175.4596
538.000000	88.825	175.7575
545.000000	88.792	176.0202
552.000000	88.758	176.2849
560.000000	88.721	176.5928
570.000000	88.677	176.9870
580.000000	88.633	177.4056
590.000000	88.589	177.8232
600.000000	88.545	178.2334
608.000000	88.511	178.5789
615.000000	88.482	178.8863
622.000000	88.453	179.1993
630.000000	88.421	179.5645
640.000000	88.382	-179.9751
650.000000	88.345	-179.4964
660.000000	88.308	-179.0122
670.000000	88.272	-178.5296
680.000000	88.239	-178.0298
690.000000	88.207	-177.5190
700.000000	88.175	-176.9980
710.000000	88.146	-176.4596
720.000000	88.118	-175.9215
730.000000	88.091	-175.3804
740.000000	88.067	-174.8259
750.000000	88.046	-174.2591
762.000000	88.022	-173.5653
775.000000	88.000	-172.8037
788.000000	87.981	-172.0346
800.000000	87.968	-171.3086
812.000000	87.959	-170.5711
825.000000	87.954	-169.7721
838.000000	87.954	-168.9658
850.000000	87.958	-168.2120
862.000000	87.966	-167.4637
875.000000	87.981	-166.6567
885.000000	87.996	-166.0375
900.000000	88.024	-165.1110
912.000000	88.050	-164.3778
925.000000	88.084	-163.5909
938.000000	88.124	-162.8133
950.000000	88.165	-162.1136
962.000000	88.210	-161.4350
975.000000	88.264	-160.7166
988.000000	88.322	-160.0209
1000.000000	88.380	-159.4068
1015.000000	88.456	-158.6695
1030.000000	88.537	-157.9726
1044.000000	88.614	-157.3669
1060.000000	88.706	-156.7176
1075.000000	88.795	-156.1544
1090.000000	88.884	-155.6377
1106.000000	88.979	-155.1323
1120.000000	89.063	-154.7307
1138.000000	89.170	-154.2624
1150.000000	89.240	-153.9818
1172.000000	89.365	-153.5297
1180.000000	89.410	-153.3821
1206.000000	89.547	-152.9575
1220.000000	89.616	-152.7630
1241.000000	89.716	-152.5044
1250.000000	89.757	-152.4001
1265.000000	89.822	-152.2366
1280.000000	89.885	-152.0886
1315.000000	90.018	-151.7539
1320.000000	90.036	-151.7085
1340.000000	90.104	-151.5337
