* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 20, 2025 8:30:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R Light Grey Tips (M)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	96.679	6.1149
20.299999	96.657	5.4445
20.600000	96.628	4.7791
20.900000	96.592	4.1238
21.200001	96.548	3.4948
21.400000	96.514	3.1017
21.799999	96.443	2.4069
22.000000	96.409	2.1107
22.400000	96.350	1.6066
22.700001	96.321	1.2681
23.000000	96.304	0.9170
23.299999	96.297	0.5167
23.600000	96.292	0.0511
24.000000	96.277	-0.6438
24.299999	96.254	-1.1667
24.700001	96.212	-1.7750
25.000000	96.181	-2.1333
25.400000	96.156	-2.5198
25.799999	96.156	-2.9331
26.200001	96.165	-3.5054
26.500000	96.158	-4.0446
26.900000	96.113	-4.7912
27.200001	96.052	-5.2484
27.600000	95.957	-5.5812
28.000000	95.883	-5.6097
28.500000	95.859	-5.5431
29.000000	95.885	-5.8043
29.500000	95.889	-6.4735
30.000000	95.833	-7.2311
30.400000	95.762	-7.6902
30.700001	95.709	-7.9280
31.100000	95.650	-8.1696
31.500000	95.603	-8.4099
32.000000	95.547	-8.7477
32.500000	95.488	-9.0642
33.000000	95.437	-9.3318
33.500000	95.401	-9.6271
34.000000	95.364	-10.0054
34.500000	95.311	-10.3968
35.000000	95.247	-10.6807
35.500000	95.192	-10.8353
36.000000	95.158	-10.9647
36.500000	95.135	-11.1851
37.000000	95.104	-11.5060
37.500000	95.055	-11.8354
38.200001	94.975	-12.1608
38.700001	94.927	-12.3325
39.500000	94.863	-12.7032
40.000000	94.812	-12.9685
40.599998	94.745	-13.1893
41.200001	94.698	-13.3293
41.799999	94.673	-13.5685
42.500000	94.630	-14.0302
43.099998	94.568	-14.3901
43.700001	94.501	-14.6002
44.400002	94.436	-14.7400
45.000000	94.386	-14.8413
45.500000	94.347	-14.9075
46.200001	94.300	-14.9940
46.799999	94.264	-15.1169
47.500000	94.214	-15.3153
48.200001	94.156	-15.5134
48.700001	94.113	-15.6465
49.400002	94.051	-15.8250
50.000000	93.998	-15.9552
50.799999	93.935	-16.0858
51.500000	93.890	-16.2009
52.200001	93.849	-16.3525
53.000000	93.798	-16.5338
53.799999	93.745	-16.6570
54.500000	93.703	-16.7397
55.200001	93.659	-16.8387
56.000000	93.599	-16.9084
57.000000	93.532	-16.8876
58.000000	93.478	-16.9686
59.000000	93.406	-17.0859
60.000000	93.339	-17.1055
60.799999	93.296	-17.1424
61.500000	93.259	-17.1890
62.200001	93.225	-17.2360
63.000000	93.189	-17.3161
64.000000	93.134	-17.4120
65.000000	93.080	-17.4209
66.000000	93.036	-17.4359
67.000000	92.986	-17.4875
68.000000	92.931	-17.4990
69.000000	92.880	-17.4897
70.000000	92.831	-17.4680
71.000000	92.787	-17.4385
72.000000	92.747	-17.4390
73.000000	92.705	-17.4570
74.000000	92.660	-17.4645
75.000000	92.616	-17.4320
76.199997	92.571	-17.3888
77.500000	92.520	-17.3750
78.800003	92.471	-17.3260
80.000000	92.427	-17.3039
