* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 14, 2025 12:04:24 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L ddHifi Memory E13P AET07
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	87.483	-136.4525
20.299999	87.527	-137.2105
20.600000	87.553	-137.9369
20.900000	87.566	-138.5897
21.200001	87.571	-139.1458
21.400000	87.574	-139.4623
21.799999	87.587	-139.9918
22.000000	87.598	-140.2236
22.400000	87.634	-140.6710
22.700001	87.667	-141.0218
23.000000	87.705	-141.3995
23.299999	87.742	-141.8038
23.600000	87.779	-142.2280
24.000000	87.825	-142.8097
24.299999	87.857	-143.2498
24.700001	87.898	-143.8332
25.000000	87.925	-144.2620
25.400000	87.960	-144.8100
25.799999	87.993	-145.3197
26.200001	88.029	-145.7932
26.500000	88.059	-146.1377
26.900000	88.104	-146.6115
27.200001	88.138	-146.9938
27.600000	88.178	-147.5453
28.000000	88.207	-148.1220
28.500000	88.223	-148.8068
29.000000	88.223	-149.3730
29.500000	88.224	-149.8005
30.000000	88.236	-150.1473
30.400000	88.254	-150.4253
30.700001	88.271	-150.6543
31.100000	88.292	-150.9885
31.500000	88.310	-151.3378
32.000000	88.328	-151.7610
32.500000	88.349	-152.1624
33.000000	88.375	-152.5757
33.500000	88.401	-153.0277
34.000000	88.420	-153.4933
34.500000	88.432	-153.9169
35.000000	88.445	-154.2749
35.500000	88.464	-154.5987
36.000000	88.488	-154.9282
36.500000	88.509	-155.2612
37.000000	88.527	-155.5675
37.500000	88.547	-155.8420
38.200001	88.579	-156.2392
38.700001	88.598	-156.5533
39.500000	88.612	-157.0129
40.000000	88.621	-157.2507
40.599998	88.639	-157.5575
41.200001	88.654	-157.9271
41.799999	88.657	-158.2946
42.500000	88.663	-158.6709
43.099998	88.676	-159.0333
43.700001	88.680	-159.4524
44.400002	88.668	-159.8520
45.000000	88.669	-160.0639
45.500000	88.688	-160.2479
46.200001	88.718	-160.6406
46.799999	88.728	-161.0080
47.500000	88.733	-161.3027
48.200001	88.757	-161.5305
48.700001	88.781	-161.7487
49.400002	88.802	-162.1219
50.000000	88.807	-162.4093
50.799999	88.811	-162.6815
51.500000	88.824	-162.8962
52.200001	88.836	-163.1606
53.000000	88.840	-163.4812
53.799999	88.840	-163.7582
54.500000	88.844	-164.0001
55.200001	88.847	-164.2663
56.000000	88.846	-164.5356
57.000000	88.862	-164.8305
58.000000	88.883	-165.2860
59.000000	88.870	-165.6829
60.000000	88.874	-165.8125
60.799999	88.901	-165.9995
61.500000	88.913	-166.2547
62.200001	88.913	-166.4615
63.000000	88.917	-166.6392
64.000000	88.924	-166.9139
65.000000	88.922	-167.1831
66.000000	88.922	-167.4119
67.000000	88.932	-167.6131
68.000000	88.952	-167.8750
69.000000	88.963	-168.1638
70.000000	88.977	-168.3727
71.000000	88.989	-168.6622
72.000000	88.972	-168.8140
73.000000	88.988	-168.7430
74.000000	89.034	-169.0498
75.000000	89.013	-169.6405
76.199997	88.939	-169.8064
77.500000	88.947	-169.6852
78.800003	88.999	-170.0085
80.000000	89.017	-170.5020
81.199997	89.013	-170.8413
82.500000	89.009	-171.0695
83.800003	89.003	-171.2085
85.000000	89.003	-171.2807
86.199997	89.012	-171.4144
87.500000	89.015	-171.6230
88.500000	89.022	-171.7545
90.000000	89.047	-172.0208
91.199997	89.068	-172.2877
92.500000	89.077	-172.5833
93.800003	89.079	-172.7398
95.000000	89.090	-172.8311
96.199997	89.102	-172.9463
97.500000	89.114	-173.0566
98.800003	89.129	-173.1683
100.000000	89.144	-173.3384
101.500000	89.141	-173.6442
103.000000	89.120	-173.8259
104.400002	89.110	-173.9755
106.000000	89.100	-174.2181
107.500000	89.090	-174.4412
109.000000	89.083	-174.5963
110.599998	89.098	-174.6635
112.000000	89.127	-174.8312
113.800003	89.152	-175.1877
115.000000	89.152	-175.4424
117.199997	89.137	-175.6937
118.000000	89.138	-175.7514
120.599998	89.144	-175.9996
122.000000	89.163	-176.0833
124.099998	89.195	-176.5191
125.000000	89.186	-176.7427
126.500000	89.158	-176.8739
128.000000	89.155	-176.8684
131.500000	89.184	-177.3963
132.000000	89.185	-177.4371
134.000000	89.210	-177.3995
136.000000	89.257	-177.3448
138.000000	89.269	-177.4700
140.000000	89.241	-177.6572
143.000000	89.212	-177.9990
145.000000	89.219	-178.2366
147.500000	89.241	-178.4209
150.000000	89.255	-178.6314
152.500000	89.256	-178.8501
155.000000	89.263	-178.9948
157.500000	89.269	-179.1187
160.000000	89.267	-179.2791
162.500000	89.267	-179.4945
165.000000	89.277	-179.7166
167.500000	89.287	-179.9082
170.000000	89.287	179.9350
172.500000	89.285	179.7955
175.000000	89.289	179.6346
177.500000	89.293	179.4534
180.000000	89.298	179.2985
182.500000	89.308	179.1342
185.000000	89.319	178.9648
187.500000	89.329	178.8009
190.000000	89.334	178.6273
192.500000	89.333	178.4624
195.000000	89.333	178.3339
197.500000	89.340	178.1992
200.000000	89.350	178.0598
203.000000	89.362	177.9244
206.000000	89.371	177.7597
209.000000	89.382	177.5304
212.000000	89.398	177.3321
214.000000	89.411	177.2581
218.000000	89.432	177.0585
220.000000	89.441	176.9258
224.000000	89.464	176.6587
227.000000	89.477	176.4459
230.000000	89.485	176.2273
233.000000	89.494	176.0334
236.000000	89.504	175.8476
240.000000	89.520	175.5689
243.000000	89.528	175.3757
247.000000	89.535	175.1336
250.000000	89.544	174.9166
254.000000	89.559	174.6464
258.000000	89.569	174.4138
262.000000	89.581	174.1462
265.000000	89.592	173.9432
269.000000	89.607	173.6893
272.000000	89.617	173.5111
276.000000	89.631	173.2851
280.000000	89.643	173.0252
285.000000	89.657	172.6749
290.000000	89.673	172.3571
295.000000	89.683	172.0458
300.000000	89.694	171.7362
304.000000	89.705	171.4834
307.000000	89.713	171.3003
311.000000	89.724	171.0605
315.000000	89.735	170.8277
320.000000	89.750	170.5374
325.000000	89.766	170.2551
330.000000	89.785	169.9720
335.000000	89.808	169.6655
340.000000	89.835	169.3315
345.000000	89.860	168.9797
350.000000	89.882	168.6102
355.000000	89.903	168.2124
360.000000	89.922	167.7939
365.000000	89.937	167.4016
370.000000	89.949	167.0133
375.000000	89.961	166.5957
382.000000	89.978	166.0444
387.000000	89.989	165.6729
395.000000	90.008	165.0767
400.000000	90.023	164.6656
406.000000	90.038	164.2213
412.000000	90.045	163.7449
418.000000	90.054	163.1448
425.000000	90.083	162.4442
431.000000	90.095	161.9281
437.000000	90.097	161.3987
444.000000	90.097	160.7950
450.000000	90.103	160.2317
455.000000	90.109	159.8050
462.000000	90.111	159.2491
468.000000	90.107	158.8286
475.000000	90.113	158.2062
482.000000	90.117	157.5001
487.000000	90.113	156.9967
494.000000	90.101	156.1920
500.000000	90.094	155.5298
508.000000	90.092	154.8340
515.000000	90.084	154.1488
522.000000	90.067	153.4589
530.000000	90.046	152.6796
538.000000	90.046	151.9228
545.000000	90.038	151.2599
552.000000	90.027	150.6259
560.000000	90.010	149.9672
570.000000	89.926	148.9718
580.000000	89.840	147.7944
590.000000	89.781	146.7828
600.000000	89.717	145.8416
608.000000	89.663	145.0974
615.000000	89.612	144.4305
622.000000	89.555	143.7710
630.000000	89.488	143.1304
640.000000	89.440	142.5798
650.000000	89.448	141.7460
660.000000	89.377	140.4112
670.000000	89.237	139.2512
680.000000	89.118	138.5162
690.000000	89.005	138.0399
700.000000	88.856	137.4211
710.000000	88.707	136.5566
720.000000	88.577	135.7183
730.000000	88.439	135.0314
740.000000	88.305	134.3441
750.000000	88.175	133.6900
762.000000	88.006	133.0048
775.000000	87.812	132.3989
788.000000	87.624	131.8585
800.000000	87.458	131.4556
812.000000	87.289	131.1268
825.000000	87.109	130.8525
838.000000	86.936	130.6396
850.000000	86.782	130.4947
862.000000	86.626	130.4305
875.000000	86.474	130.4255
885.000000	86.362	130.4029
900.000000	86.199	130.4270
912.000000	86.079	130.4525
925.000000	85.957	130.4852
938.000000	85.840	130.5833
950.000000	85.741	130.6616
962.000000	85.651	130.7204
975.000000	85.558	130.7975
988.000000	85.468	130.9041
1000.000000	85.391	130.9943
1015.000000	85.295	130.9497
1030.000000	85.200	130.9062
1044.000000	85.119	130.9064
1060.000000	85.028	130.8622
1075.000000	84.945	130.8197
1090.000000	84.867	130.7349
1106.000000	84.784	130.6506
1120.000000	84.709	130.5395
1138.000000	84.613	130.2974
1150.000000	84.553	130.1708
1172.000000	84.439	129.8665
1180.000000	84.397	129.7357
1206.000000	84.250	129.3079
1220.000000	84.166	129.0667
1241.000000	84.033	128.6765
1250.000000	83.973	128.5074
1265.000000	83.868	128.2534
1280.000000	83.760	128.0217
1315.000000	83.501	127.4935
1320.000000	83.463	127.4233
1340.000000	83.305	127.1610
1360.000000	83.143	126.9218
1380.000000	82.979	126.7123
1400.000000	82.812	126.5459
1430.000000	82.560	126.3864
1450.000000	82.392	126.3309
1475.000000	82.174	126.2995
1500.000000	81.955	126.3309
1525.000000	81.739	126.4365
1550.000000	81.525	126.5992
1575.000000	81.312	126.8271
1600.000000	81.101	127.1200
1625.000000	80.889	127.4450
1650.000000	80.680	127.8035
1675.000000	80.478	128.2326
1700.000000	80.277	128.7152
1725.000000	80.079	129.2451
1750.000000	79.889	129.8168
1775.000000	79.704	130.4255
1800.000000	79.526	131.0757
1825.000000	79.357	131.7526
1850.000000	79.190	132.4175
1875.000000	79.024	133.1182
1900.000000	78.863	133.8073
1925.000000	78.708	134.4740
1950.000000	78.556	135.1856
1975.000000	78.405	135.9366
2000.000000	78.258	136.7153
2030.000000	78.090	137.6461
2060.000000	77.925	138.6097
2090.000000	77.763	139.5774
2120.000000	77.607	140.5613
2140.000000	77.505	141.2362
2180.000000	77.310	142.6169
2200.000000	77.216	143.3191
2240.000000	77.037	144.7510
2270.000000	76.908	145.8510
2300.000000	76.785	146.9538
2330.000000	76.667	148.0594
2360.000000	76.553	149.1757
2400.000000	76.408	150.6724
2430.000000	76.306	151.7890
2470.000000	76.175	153.2821
2500.000000	76.081	154.4141
2540.000000	75.962	155.9403
2580.000000	75.853	157.4804
2620.000000	75.753	159.0361
2650.000000	75.681	160.1934
2690.000000	75.588	161.7317
2720.000000	75.524	162.8990
2760.000000	75.445	164.4703
2800.000000	75.372	166.0514
2850.000000	75.291	168.0359
2900.000000	75.220	170.0254
2950.000000	75.158	172.0031
3000.000000	75.108	173.9955
3040.000000	75.075	175.6021
3070.000000	75.054	176.8180
3110.000000	75.036	178.4588
3150.000000	75.028	-179.8937
3200.000000	75.030	-177.8580
3250.000000	75.047	-175.8578
3300.000000	75.080	-173.9091
3350.000000	75.119	-172.0269
3400.000000	75.161	-170.1801
3450.000000	75.207	-168.3427
3500.000000	75.260	-166.4888
3550.000000	75.325	-164.6278
3600.000000	75.405	-162.7821
3650.000000	75.502	-160.9700
3700.000000	75.613	-159.2157
3750.000000	75.735	-157.5240
3820.000000	75.920	-155.2689
3870.000000	76.062	-153.7334
3950.000000	76.304	-151.3932
4000.000000	76.465	-150.0073
4060.000000	76.669	-148.4496
4120.000000	76.885	-147.0315
4180.000000	77.106	-145.7686
4250.000000	77.356	-144.4877
4310.000000	77.558	-143.5072
4370.000000	77.750	-142.5689
4440.000000	77.969	-141.4468
4500.000000	78.157	-140.4546
4550.000000	78.317	-139.6160
4620.000000	78.550	-138.4314
4680.000000	78.762	-137.3885
4750.000000	79.033	-136.1241
4820.000000	79.344	-134.8367
4870.000000	79.601	-133.9460
4940.000000	80.015	-132.8500
5000.000000	80.422	-132.1758
5080.000000	81.025	-131.8860
5150.000000	81.586	-132.3621
5220.000000	82.150	-133.6281
5300.000000	82.751	-136.0972
5380.000000	83.245	-139.5468
5450.000000	83.554	-143.1392
5520.000000	83.733	-147.0047
5600.000000	83.786	-151.4959
5700.000000	83.633	-156.8698
5800.000000	83.257	-161.5253
5900.000000	82.717	-164.9938
6000.000000	82.104	-167.1030
6080.000000	81.612	-167.9028
6150.000000	81.201	-168.0602
6220.000000	80.816	-167.7939
6300.000000	80.417	-167.0568
6400.000000	79.986	-165.6010
6500.000000	79.638	-163.6880
6600.000000	79.380	-161.4397
