* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.264
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 14, 2025 12:07:49 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R ddHifi Memory E13P AET07
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	86.876	45.1293
20.299999	86.908	44.7451
20.600000	86.957	44.3966
20.900000	87.020	44.0141
21.200001	87.089	43.5557
21.400000	87.134	43.2039
21.799999	87.210	42.4182
22.000000	87.238	42.0069
22.400000	87.275	41.2108
22.700001	87.289	40.6812
23.000000	87.297	40.2378
23.299999	87.304	39.8878
23.600000	87.319	39.6179
24.000000	87.357	39.3192
24.299999	87.402	39.0753
24.700001	87.477	38.6324
25.000000	87.534	38.1811
25.400000	87.597	37.4422
25.799999	87.632	36.6391
26.200001	87.641	35.8912
26.500000	87.639	35.4144
26.900000	87.638	34.8955
27.200001	87.644	34.5657
27.600000	87.662	34.1506
28.000000	87.688	33.7251
28.500000	87.722	33.1737
29.000000	87.757	32.6260
29.500000	87.794	32.0821
30.000000	87.832	31.5181
30.400000	87.857	31.0535
30.700001	87.870	30.7116
31.100000	87.883	30.2881
31.500000	87.891	29.9214
32.000000	87.904	29.5445
32.500000	87.924	29.2178
33.000000	87.953	28.8795
33.500000	87.983	28.4938
34.000000	88.004	28.0825
34.500000	88.018	27.6985
35.000000	88.032	27.3652
35.500000	88.053	27.0454
36.000000	88.080	26.6864
36.500000	88.103	26.2804
37.000000	88.120	25.8650
37.500000	88.133	25.4756
38.200001	88.151	24.9812
38.700001	88.168	24.6530
39.500000	88.200	24.1409
40.000000	88.222	23.8049
40.599998	88.242	23.3997
41.200001	88.257	23.0463
41.799999	88.276	22.7373
